ell,L_over_M,resolution,observer,kappa_c_U,gamma_eff_over_kappa_c,kappa_U_transition
2,80.0,4096,r/M=4,0.6835750647611891,8.077797563409042,nan
2,80.0,4096,r/M=4,0.6841840852108809,8.079043065808701,nan
2,80.0,4096,r/M=4,0.6847931056605728,8.080205543115623,nan
2,80.0,4096,r/M=4,0.6854021261102646,8.08127988508437,nan
2,80.0,4096,r/M=4,0.6860111465599565,8.082261529521652,nan
2,80.0,4096,r/M=4,0.6866201670096485,8.083146443060892,nan
2,80.0,4096,r/M=4,0.6872291874593403,8.083931101426957,nan
2,80.0,4096,r/M=4,0.6878382079090322,8.084612469364874,nan
2,80.0,4096,r/M=4,0.688447228358724,8.08518798051254,nan
2,80.0,4096,r/M=4,0.6890562488084159,8.085655517398283,nan
2,80.0,4096,r/M=4,0.6896652692581078,8.08601339161633,nan
2,80.0,4096,r/M=4,0.6902742897077996,8.086260324305034,nan
2,80.0,4096,r/M=4,0.6908833101574915,8.086395427112212,nan
2,80.0,4096,r/M=4,0.6914923306071833,8.08641818365631,nan
2,80.0,4096,r/M=4,0.6921013510568752,8.086328431625766,nan
2,80.0,4096,r/M=4,0.692710371506567,8.086126345510719,nan
2,80.0,4096,r/M=4,0.6933193919562589,8.085812420037643,nan
2,80.0,4096,r/M=4,0.6939284124059508,8.085387454362353,nan
2,80.0,4096,r/M=4,0.6945374328556426,8.084852537027187,nan
2,80.0,4096,r/M=4,0.6951464533053345,8.084209031701626,nan
2,80.0,4096,r/M=4,0.6957554737550263,8.083458563737851,nan
2,80.0,4096,r/M=4,0.6963644942047182,8.082603007551748,nan
2,80.0,4096,r/M=4,0.6969735146544102,8.081644474696331,nan
2,80.0,4096,r/M=4,0.697582535104102,8.080585302886043,nan
2,80.0,4096,r/M=4,0.6981915555537939,8.079428045692476,nan
2,80.0,4096,r/M=4,0.6988005760034857,8.078175463014208,nan
2,80.0,4096,r/M=4,0.6994095964531776,8.076830512320145,nan
2,80.0,4096,r/M=4,0.7000186169028695,8.075396340535727,nan
2,80.0,4096,r/M=4,0.7006276373525613,8.073876276657153,nan
2,80.0,4096,r/M=4,0.7012366578022532,8.072273824941355,nan
2,80.0,4096,r/M=4,0.701845678251945,8.07059265872951,nan
2,80.0,4096,r/M=4,0.7024546987016369,8.068836614709802,nan
2,80.0,4096,r/M=4,0.7030637191513288,8.067009687738452,nan
2,80.0,4096,r/M=4,0.7036727396010206,8.065116026025917,nan
2,80.0,4096,r/M=4,0.7042817600507125,8.063159926579198,nan
2,80.0,4096,r/M=4,0.7048907805004043,8.061145830932293,nan
2,80.0,4096,r/M=4,0.7054998009500962,8.059078321057523,nan
2,80.0,4096,r/M=4,0.7061088213997881,8.056962115229577,nan
2,80.0,4096,r/M=4,0.7067178418494799,8.05480206378165,nan
2,80.0,4096,r/M=4,0.7073268622991719,8.05260314473617,nan
2,80.0,4096,r/M=4,0.7079358827488637,8.050370459017822,nan
2,80.0,4096,r/M=4,0.7085449031985556,8.048109225113002,nan
2,80.0,4096,r/M=4,0.7091539236482475,8.045824773082902,nan
2,80.0,4096,r/M=4,0.7097629440979393,8.043522537703334,nan
2,80.0,4096,r/M=4,0.7103719645476312,8.041208050442505,nan
2,80.0,4096,r/M=4,0.710980984997323,8.03888693023537,nan
2,80.0,4096,r/M=4,0.7115900054470149,8.03656487268758,nan
2,80.0,4096,r/M=4,0.7121990258967068,8.034247637557412,nan
2,80.0,4096,r/M=4,0.7128080463463986,8.031941034228044,nan
2,80.0,4096,r/M=4,0.7134170667960905,8.029650904966612,nan
2,80.0,4096,r/M=4,0.7140260872457823,8.027383105806699,nan
2,80.0,4096,r/M=4,0.7146351076954742,8.025143484739841,nan
2,80.0,4096,r/M=4,0.7152441281451661,8.022937857146626,nan
2,80.0,4096,r/M=4,0.7158531485948579,8.020771978372297,nan
2,80.0,4096,r/M=4,0.7164621690445498,8.018651513388525,nan
2,80.0,4096,r/M=4,0.7170711894942416,8.016582003579872,nan
2,80.0,4096,r/M=4,0.7176802099439336,8.014568830987407,nan
2,80.0,4096,r/M=4,0.7182892303936255,8.012617180364217,nan
2,80.0,4096,r/M=4,0.7188982508433173,8.01073199961559,nan
2,80.0,4096,r/M=4,0.7195072712930092,8.008917959533369,nan
2,80.0,4096,r/M=4,0.720116291742701,8.007179414006897,nan
2,80.0,4096,r/M=4,0.7207253121923929,8.005520362212675,nan
2,80.0,4096,r/M=4,0.7213343326420848,8.003944414743378,nan
2,80.0,4096,r/M=4,0.7219433530917766,8.00245476561295,nan
2,80.0,4096,r/M=4,0.7225523735414685,8.001054172744745,nan
2,80.0,4096,r/M=4,0.7231613939911603,7.99974494940039,nan
2,80.0,4096,r/M=4,0.7237704144408522,7.998528968455144,nan
2,80.0,4096,r/M=4,0.724379434890544,7.997407681013143,nan
2,80.0,4096,r/M=4,0.7249884553402359,7.996382149283192,nan
2,80.0,4096,r/M=4,0.7255974757899278,7.9954530913239505,nan
2,80.0,4096,r/M=4,0.7262064962396196,7.994620932566472,nan
2,80.0,4096,r/M=4,0.7268155166893115,7.993885856645469,nan
2,80.0,4096,r/M=4,0.7274245371390033,7.993247846539406,nan
2,80.0,4096,r/M=4,0.7280335575886953,7.9927067088092265,nan
2,80.0,4096,r/M=4,0.7286425780383872,7.99226207907425,nan
2,80.0,4096,r/M=4,0.729251598488079,7.991913412756174,nan
2,80.0,4096,r/M=4,0.7298606189377709,7.991659967747783,nan
2,80.0,4096,r/M=4,0.7304696393874627,7.9915007840348204,nan
