ell,L_over_M,observer,kappa_c_U,gamma_eff_over_kappa_c
1,20.0,r/M=4,1.1405600890420968,2.050142743701965
1,20.0,r/M=4,1.1427844306852142,2.0463626337419822
1,20.0,r/M=4,1.1450087723283313,2.0427581279732205
1,20.0,r/M=4,1.1472331139714487,2.0393360905290305
1,20.0,r/M=4,1.149457455614566,2.0361030006316585
1,20.0,r/M=4,1.1516817972576834,2.0330649251852893
1,20.0,r/M=4,1.1539061389008007,2.0302274919214005
1,20.0,r/M=4,1.1561304805439179,2.027595863315166
1,20.0,r/M=4,1.1583548221870352,2.025174711489002
1,20.0,r/M=4,1.1605791638301526,2.0229681943358213
1,20.0,r/M=4,1.16280350547327,2.0209799330916556
1,20.0,r/M=4,1.165027847116387,2.019212991585264
1,20.0,r/M=4,1.1672521887595044,2.0176698573989444
1,20.0,r/M=4,1.1694765304026218,2.016352425152259
1,20.0,r/M=4,1.1717008720457391,2.015261982113918
1,20.0,r/M=4,1.1739252136888563,2.0143991963468992
1,20.0,r/M=4,1.1761495553319736,2.0137641075485164
1,20.0,r/M=4,1.178373896975091,2.013356120740212
1,20.0,r/M=4,1.1805982386182083,2.0131740029354814
1,20.0,r/M=4,1.1828225802613255,2.0132158828800097
1,20.0,r/M=4,1.1850469219044428,2.01347925393677
1,20.0,r/M=4,1.1872712635475602,2.013960980142517
1,20.0,r/M=4,1.1894956051906775,2.0146573054426264
1,20.0,r/M=4,1.1917199468337947,2.015563866066742
1,20.0,r/M=4,1.193944288476912,2.0166757059788702
1,20.0,r/M=4,1.1961686301200294,2.017987295298341
1,20.0,r/M=4,1.1983929717631467,2.0194925515612288
1,20.0,r/M=4,1.2006173134062639,2.0211848636559555
1,20.0,r/M=4,1.2028416550493812,2.0230571182463777
1,20.0,r/M=4,1.2050659966924986,2.025101728472151
1,20.0,r/M=4,1.207290338335616,2.0273106646957477
1,20.0,r/M=4,1.209514679978733,2.029675487057103
1,20.0,r/M=4,1.2117390216218504,2.0321873795868064
1,20.0,r/M=4,1.2139633632649678,2.03483718563051
1,20.0,r/M=4,1.2161877049080851,2.037615444342267
1,20.0,r/M=4,1.2184120465512023,2.040512428012481
1,20.0,r/M=4,1.2206363881943196,2.043518180016688
1,20.0,r/M=4,1.222860729837437,2.0466225531917486
1,20.0,r/M=4,1.2250850714805543,2.049815248468312
1,20.0,r/M=4,1.2273094131236717,2.053085853621387
1,20.0,r/M=4,1.2295337547667888,2.0564238820087053
1,20.0,r/M=4,1.2317580964099062,2.059818811199584
