ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,210.47741127760253,-2.847127160319743
0,2048,r/M=20,210.52741127760248,-2.847154321171437
0,2048,r/M=20,210.57741127760244,-2.8471814609026294
0,2048,r/M=20,210.6274112776024,-2.847208579526365
0,2048,r/M=20,210.67741127760235,-2.847235677166283
0,2048,r/M=20,210.7274112776023,-2.847262753826161
0,2048,r/M=20,210.77741127760225,-2.8472898095545154
0,2048,r/M=20,210.8274112776022,-2.847316844378744
0,2048,r/M=20,210.87741127760216,-2.847343858338062
0,2048,r/M=20,210.92741127760212,-2.847370851531479
0,2048,r/M=20,210.97741127760207,-2.8473978239559665
0,2048,r/M=20,211.02741127760203,-2.8474247757102624
0,2048,r/M=20,211.07741127760198,-2.847451706824014
0,2048,r/M=20,211.12741127760194,-2.847478617266698
0,2048,r/M=20,211.1774112776019,-2.8475055071726247
0,2048,r/M=20,211.22741127760185,-2.8475323766220093
0,2048,r/M=20,211.2774112776018,-2.847559225613883
0,2048,r/M=20,211.32741127760175,-2.847586054174113
0,2048,r/M=20,211.3774112776017,-2.8476128623824684
0,2048,r/M=20,211.42741127760166,-2.847639650303578
0,2048,r/M=20,211.47741127760162,-2.8476664180079516
0,2048,r/M=20,211.52741127760157,-2.8476931654727875
0,2048,r/M=20,211.57741127760153,-2.847719892804359
0,2048,r/M=20,211.62741127760148,-2.847746600075767
0,2048,r/M=20,211.67741127760144,-2.847773287287796
0,2048,r/M=20,211.7274112776014,-2.847799954543339
0,2048,r/M=20,211.77741127760135,-2.8478266018368523
0,2048,r/M=20,211.8274112776013,-2.8478532292769865
0,2048,r/M=20,211.87741127760125,-2.8478798369060616
0,2048,r/M=20,211.9274112776012,-2.8479064247782944
0,2048,r/M=20,211.97741127760116,-2.8479329929417374
0,2048,r/M=20,212.02741127760112,-2.8479595414533376
0,2048,r/M=20,212.07741127760107,-2.847986070387989
0,2048,r/M=20,212.12741127760103,-2.848012579760174
0,2048,r/M=20,212.17741127760098,-2.84803906964149
0,2048,r/M=20,212.22741127760094,-2.8480655401064277
0,2048,r/M=20,212.2774112776009,-2.8480919912323746
0,2048,r/M=20,212.32741127760085,-2.8481184230392715
0,2048,r/M=20,212.3774112776008,-2.848144835558963
0,2048,r/M=20,212.42741127760075,-2.848171228898601
0,2048,r/M=20,212.4774112776007,-2.848197603125999
0,2048,r/M=20,212.52741127760066,-2.848223958254479
0,2048,r/M=20,212.57741127760062,-2.8482502943545858
0,2048,r/M=20,212.62741127760057,-2.8482766114755904
0,2048,r/M=20,212.67741127760053,-2.84830290970289
0,2048,r/M=20,212.72741127760048,-2.8483291890613116
0,2048,r/M=20,212.77741127760044,-2.8483554496359944
0,2048,r/M=20,212.8274112776004,-2.848381691508943
0,2048,r/M=20,212.87741127760034,-2.8484079146682717
0,2048,r/M=20,212.9274112776003,-2.848434119228984
0,2048,r/M=20,212.97741127760025,-2.848460305175859
0,2048,r/M=20,213.0274112776002,-2.8484864726206207
0,2048,r/M=20,213.07741127760016,-2.8485126216779397
0,2048,r/M=20,213.12741127760012,-2.848538752289769
0,2048,r/M=20,213.17741127760007,-2.8485648646068507
0,2048,r/M=20,213.22741127760003,-2.848590958670797
0,2048,r/M=20,213.27741127759998,-2.8486170344412396
0,2048,r/M=20,213.32741127759994,-2.8486430920867614
0,2048,r/M=20,213.3774112775999,-2.848669131648564
0,2048,r/M=20,213.42741127759984,-2.848695153128271
0,2048,r/M=20,213.4774112775998,-2.848721156654737
0,2048,r/M=20,213.52741127759975,-2.848747142241443
