radius,G
2.837619841600667,0.0
2.840496040016674,0.0
2.8433722384326803,0.0
2.846248436848687,0.0
2.849124635264694,0.0
2.8520008336807003,0.0
2.854877032096707,0.0
2.8577532305127136,0.0
2.8606294289287204,0.0
2.8635056273447272,0.0
2.8663818257607336,0.0
2.8692580241767405,0.0
2.8721342225927473,0.0
2.8750104210087537,0.0
2.8778866194247605,0.0
2.8807628178407674,0.0
2.8836390162567738,0.0
2.8865152146727806,0.0
2.889391413088787,0.0
2.892267611504794,0.0
2.8951438099208007,0.0
2.898020008336807,0.0
2.900896206752814,0.0
2.9037724051688203,0.0
2.906648603584827,0.0
2.909524802000834,0.0
2.9124010004168404,0.0
2.915277198832847,0.0
2.918153397248854,0.0
2.9210295956648604,0.0
2.9239057940808673,0.0
2.926781992496874,0.0
2.9296581909128805,0.0
2.9325343893288873,0.0
2.9354105877448937,0.0
2.9382867861609006,0.0
2.9411629845769074,0.0
2.944039182992914,0.0
2.9469153814089206,0.0
2.949791579824927,0.0
2.952667778240934,0.0
2.9555439766569407,0.0
2.958420175072947,0.0
2.961296373488954,0.0
2.9641725719049608,0.0
2.967048770320967,0.0
2.969924968736974,0.0
2.972801167152981,0.0
2.975677365568987,0.0
2.978553563984994,0.0
2.9814297624010004,0.0
2.9843059608170073,0.0
2.987182159233014,0.0
2.9900583576490205,0.0
2.9929345560650273,0.0
2.9958107544810337,0.0
2.9986869528970406,0.0
3.0015631513130474,0.0
3.004439349729054,3.828601590653412e-147
3.0073155481450606,1.890862448852584e-89
3.010191746561067,2.5525847226204746e-64
3.013067944977074,2.9862546245768982e-50
3.0159441433930807,2.935539730172545e-41
3.018820341809087,5.148446036427234e-35
3.021696540225094,1.9961070336865754e-30
3.0245727386411008,6.524161497623054e-27
3.027448937057107,3.9116858341036296e-24
3.030325135473114,6.9704832424169035e-22
3.033201333889121,5.0601850411802424e-20
3.0360775323051272,1.855021524755463e-18
3.038953730721134,3.9951846103835865e-17
3.0418299291371405,5.641300133769651e-16
3.0447061275531473,5.665822668978136e-15
3.047582325969154,4.305454633769266e-14
3.0504585243851605,2.5963342894309635e-13
3.0533347228011674,1.289831529571797e-12
3.0562109212171737,5.4382159698416116e-12
3.0590871196331806,1.993129840112643e-11
3.0619633180491874,6.475050711098714e-11
3.064839516465194,1.8947355312472578e-10
3.0677157148812007,5.061009784551064e-10
3.070591913297207,1.2478182970567756e-09
3.073468111713214,2.866653843236359e-09
3.0763443101292207,6.185539190542576e-09
3.0792205085452276,1.2621855732879558e-08
3.082096706961234,2.4499749207868242e-08
3.084972905377241,4.546708415060944e-08
3.087849103793247,8.102987968726411e-08
3.090725302209254,1.3921261296453107e-07
3.093601500625261,2.3134725884005572e-07
3.0964776990412672,3.7298781802709085e-07
3.099353897457274,5.849408674434082e-07
3.1022300958732805,8.943968143742299e-07
3.1051062942892873,1.3361414438431587e-06
3.107982492705294,1.9538233070797505e-06
3.1108586911213005,2.8012496853459173e-06
3.1137348895373074,3.943682344741755e-06
3.1166110879533138,5.459104044695571e-06
3.1194872863693206,7.439427669807489e-06
3.1223634847853274,9.991621761052625e-06
3.1252396832013343,1.3238728934632669e-05
3.1281158816173407,1.732075698756527e-05
3.1309920800333475,2.239542619299678e-05
3.133868278449354,2.8638760193460402e-05
3.1367444768653607,3.624551183701714e-05
3.1396206752813676,4.542941912626736e-05
3.142496873697374,5.642329004897066e-05
3.145373072113381,6.947891834551088e-05
3.148249270529387,8.486683518300168e-05
3.151125468945394,0.00010287590421340179
3.154001667361401,0.00012381276957796136
3.1568778657774073,0.00014800116808544471
3.159754064193414,0.00017578111805140209
3.1626302626094205,0.0002075079981662232
3.1655064610254273,0.0002435515302933452
3.168382659441434,0.00028429468032193327
3.1712588578574405,0.00033013249115116267
3.1741350562734474,0.0003814708616040869
3.177011254689454,0.000438725284598254
3.1798874531054606,0.000502319557273845
3.1827636515214675,0.0005726844750329942
3.1856398499374743,0.000650256520607295
3.1885160483534807,0.0007354765583725656
3.1913922467694875,0.0008287885431949522
3.194268445185494,0.0009306382521417088
3.1971446436015007,0.001041472046442384
3.2000208420175076,0.0011617356701539637
3.202897040433514,0.001291873091082905
3.205773238849521,0.0014323253886526239
3.208649437265527,0.0015835296925883113
3.211525635681534,0.0017459181755245718
3.214401834097541,0.0019199171019293523
3.2172780325135473,0.00210594593508246
3.220154230929554,0.002304416503249326
3.2230304293455605,0.002515732225648193
3.2259066277615673,0.002740287398325502
3.228782826177574,0.0029784665396205227
3.231659024593581,0.003230643794522646
3.2345352230095874,0.0034971823968926613
3.2374114214255942,0.00377843418823498
3.2402876198416006,0.004074739191466633
3.2431638182576075,0.0043864252379261295
3.2460400166736143,0.004713807645700941
3.2489162150896207,0.005057188947219169
3.2517924135056275,0.0054168586639513645
3.254668611921634,0.005793093125991084
3.2575448103376408,0.006186155334237001
3.2604210087536476,0.006596294862866619
3.263297207169654,0.007023747799787217
3.266173405585661,0.007468736722754359
3.269049604001667,0.007931470708870732
3.271925802417674,0.00841214537521675
3.274802000833681,0.00891094294840387
3.2776781992496877,0.009428032360902757
3.280554397665694,0.009963569372054346
3.283430596081701,0.010517696711745893
3.2863067944977074,0.011090544244799848
3.289182992913714,0.011682229154208126
3.292059191329721,0.012292856141414628
3.2949353897457274,0.012922517641937305
3.2978115881617343,0.013571294054698129
3.3006877865777406,0.014239253983511616
3.3035639849937475,0.014926454489268822
3.3064401834097543,0.01563294135142696
3.3093163818257607,0.01635874933750328
3.3121925802417675,0.01710390247934303
3.315068778657774,0.01786841435501133
3.3179449770737808,0.018652288375232678
3.3208211754897876,0.01945551807337208
3.323697373905794,0.020278087398022924
3.326573572321801,0.021119971007333652
3.3294497707378072,0.021981134564266196
3.332325969153814,0.022861535032047086
3.335202167569821,0.023761120969122078
3.3380783659858277,0.024679832822990286
3.340954564401834,0.02561760322233931
3.343830762817841,0.026574357266957865
3.3467069612338474,0.02755001281494858
3.349583159649854,0.028544480766808714
3.352459358065861,0.0295576653459893
3.3553355564818674,0.030589464375583967
3.3582117548978743,0.03163976955083584
3.3610879533138807,0.032708466707183415
3.3639641517298875,0.03379543608360853
3.3668403501458943,0.034900552581065516
3.3697165485619007,0.03602368601581608
3.3725927469779076,0.03716470136750935
3.375468945393914,0.03832345902187455
3.378345143809921,0.039499815007922705
3.3812213422259276,0.04069362122956438
3.3840975406419345,0.0419047256915829
3.386973739057941,0.04313297271990855
3.3898499374739477,0.044378203176168224
3.392726135889954,0.045640254666486885
3.395602334305961,0.04691896174454773
3.3984785327219678,0.04821415610891319
3.401354731137974,0.04952566679463657
3.404230929553981,0.050853320359195216
3.4071071279699874,0.05219694106278667
3.409983326385994,0.05355635104304538
3.412859524802001,0.05493137048423253
3.4157357232180074,0.056321817780975135
3.4186119216340143,0.05772750969661999
3.4214881200500207,0.05914826151628572
3.4243643184660275,0.06058388719469749
3.4272405168820343,0.0620341994988896
3.4301167152980407,0.06349901014587005
3.4329929137140476,0.06497812993534552
3.435869112130054,0.06647136887759522
3.438745310546061,0.06797853631660684
3.4416215089620676,0.06949944104856443
3.4444977073780745,0.07103389143579973
3.447373905794081,0.07258169551630891
3.4502501042100877,0.07414266110893879
3.453126302626094,0.07571659591434965
3.456002501042101,0.07730330761185983
3.4588786994581078,0.07890260395227965
3.461754897874114,0.08051429284683606
3.464631096290121,0.0821381824522994
3.4675072947061274,0.08377408125240765
3.4703834931221342,0.08542179813570229
3.473259691538141,0.08708114246986709
3.4761358899541475,0.08875192417268007
3.4790120883701543,0.09043395377967456
3.4818882867861607,0.09212704250860415
3.4847644852021675,0.09383100232082008
3.4876406836181744,0.09554564597964041
3.490516882034181,0.09727078710582078
3.4933930804501876,0.09900624023020732
3.4962692788661944,0.1007518208436697
3.499145477282201,0.10250734544439537
3.5020216756982077,0.10427263158264236
3.5048978741142145,0.10604749790302329
3.507774072530221,0.10783176418441462
3.5106502709462277,0.10962525137756621
3.513526469362234,0.11142778164049029
3.516402667778241,0.11323917837171313
3.519278866194248,0.11505926624145595
3.522155064610254,0.1168878712208279
3.525031263026261,0.11872482060909693
3.5279074614422674,0.12056994305911004
3.5307836598582742,0.12242306860093159
3.533659858274281,0.12428402866376627
3.5365360566902875,0.1261526560962278
3.5394122551062943,0.12802878518502292
3.5422884535223007,0.12991225167210144
3.5451646519383075,0.13180289277034354
3.5480408503543144,0.13370054717782862
3.550917048770321,0.13560505509075302
3.5537932471863276,0.13751625821504443
3.556669445602334,0.13943399977672416
3.559545644018341,0.14135812453107482
3.5624218424343477,0.1432884787706527
3.5652980408503545,0.1452249103322039
3.568174239266361,0.14716726860251994
3.5710504376823677,0.14911540452328612
3.573926636098374,0.15106917059495728
3.576802834514381,0.15302842087971383
3.579679032930388,0.15499301100352486
3.5825552313463946,0.15696279815737157
3.585431429762401,0.15893764109765832
3.5883076281784074,0.1609174001458527
3.5911838265944143,0.16290193718739115
3.594060025010421,0.16489111566987705
3.596936223426428,0.16688480060061553
3.5998124218424343,0.16888285854350657
3.6026886202584407,0.17088515761533346
3.6055648186744476,0.17289156748147277
3.6084410170904544,0.1749019593510568
3.6113172155064612,0.17691620597161367
3.6141934139224676,0.17893418162321442
3.6170696123384745,0.1809557621121529
3.619945810754481,0.1829808247641759
3.6228220091704877,0.18500924841730115
3.6256982075864945,0.18704091341423
3.6285744060025014,0.1890757015943921
3.6314506044185078,0.19111349628562996
3.634326802834514,0.19315418229555587
3.637203001250521,0.1951976459025895
3.640079199666528,0.19724377484670552
3.6429553980825347,0.1992924583199001
3.645831596498541,0.20134358695640178
3.6487077949145474,0.2033970528226402
3.6515839933305543,0.20545274940698552
3.654460191746561,0.20751057160927916
3.657336390162568,0.20957041573016927
3.6602125885785743,0.21163217946026563
3.6630887869945807,0.2136957618691236
3.6659649854105876,0.21576106339407858
3.6688411838265944,0.21782798582893312
3.6717173822426012,0.21989643231251996
3.6745935806586076,0.2219663073171422
3.6774697790746145,0.22403751663691202
3.680345977490621,0.2261099673759866
3.6832221759066277,0.2281835679367259
3.6860983743226345,0.23025822800776607
3.6889745727386414,0.23233385855203278
3.6918507711546478,0.2344103717946948
3.694726969570654,0.23648768121106528
3.697603167986661,0.23856570151446838
3.700479366402668,0.24064434864406475
3.7033555648186747,0.24272353975265884
3.706231763234681,0.2448031931944822
3.7091079616506875,0.24688322851296943
3.7119841600666943,0.24896356642852446
3.714860358482701,0.2510441288262914
3.717736556898708,0.2531248387439295
3.7206127553147144,0.25520562035940286
