ell,L_over_M,observer,kappa_c,status,configurations,resolved_configurations,kappa_c_U_departure_median,kappa_c_U_departure_minimum,kappa_c_U_departure_maximum,kappa_c_U_entry_median,kappa_c_U_entry_minimum,kappa_c_U_entry_maximum,U_over_M_departure_median,U_over_M_departure_minimum,U_over_M_departure_maximum,U_over_M_entry_median,U_over_M_entry_minimum,U_over_M_entry_maximum,final_rate_median,status_counts
1,80.0,r/M=16,0.012180408993848391,resolved,54,54,1.2514866340990745,0.8942961403547953,1.526459367134952,2.769165594731204,2.4588696756131982,2.977755098750668,102.7458630273521,73.42086302737879,125.3208630273316,227.3458630272388,201.87086302726198,244.47086302722323,1.0241559613335038,resolved=54
1,80.0,cosmological_horizon,0.012180408993848391,resolved,54,35,0.8260858499893065,0.6202369379934557,1.1933251811535015,2.1178182237857537,1.921713638984973,2.441817103021826,67.82086302738388,50.920863027399236,97.97086302735647,173.87086302728744,157.77086302730208,200.47086302726325,1.025995170108409,no_schwarzschild_agreement=19;resolved=35
1,160.0,r/M=4,0.0061710049157578505,resolved,54,45,0.9730176897565599,0.8986570805217454,1.0776162230785602,2.968412129265046,2.712315425261328,3.2328396899070784,157.6757275418675,145.62572754187846,174.62572754185206,481.0257275415734,439.52572754161116,523.8757275418665,1.0044935817704896,no_cosmological_entry=9;resolved=45
1,160.0,r/M=8,0.0061710049157578505,resolved,54,54,0.8238336459182495,0.7141440335407535,0.9585158282045421,2.942956733987568,2.6845459031404433,3.19427090918275,133.5007275418895,115.72572754190566,155.32572754186964,476.90072754157717,435.0257275416153,517.62572754173,1.0098289259341127,resolved=54
1,160.0,r/M=16,0.0061710049157578505,resolved,54,54,0.7696830777825237,0.6296012661949478,0.8591626490609311,2.890194641957886,2.633018012093912,3.140891716660321,124.72572754189747,102.02572754191812,139.22572754188428,468.3507275415849,426.67572754162285,508.975727541548,1.0103379627072564,resolved=54
1,160.0,cosmological_horizon,0.0061710049157578505,marginal,54,25,0.510192321075142,0.3698019592417785,0.5916495859630716,2.223571835933751,1.9853710461857146,2.468252180843327,82.67572754193571,59.92572754195639,95.87572754192372,360.3257275416832,321.7257275417183,399.97572754164713,1.0133851581554698,no_schwarzschild_agreement=29;resolved=25
2,80.0,r/M=4,0.012180408993848391,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.265774863394428,no_cosmological_entry=54
2,80.0,r/M=8,0.012180408993848391,marginal,54,16,2.702477855489724,2.3857872216499536,2.87422162230283,3.5459711783234265,3.4801969697552093,3.6647301660160405,221.87086302722568,195.8708630272493,235.97086302721286,291.12086302802214,285.7208630279043,300.87086302823496,2.029509254955617,no_cosmological_entry=38;resolved=16
2,80.0,r/M=16,0.012180408993848391,resolved,54,54,2.2183065979846903,1.0167092507426396,2.5496137226170656,3.330073428902751,3.145844742866773,3.4582722335658036,182.12086302726178,83.47086302735153,209.32086302723707,273.39586302763524,258.2708630273051,283.920863027865,2.044436658503686,resolved=54
2,80.0,cosmological_horizon,0.012180408993848391,resolved,54,52,1.3979560522497476,0.6123196721472408,1.6172034141388192,2.664718587608828,2.510027393387094,2.8797028063500565,114.77086302732306,50.270863027381715,132.7708630273067,218.77086302722847,206.07086302724,236.4208630272124,2.0494960701154143,no_schwarzschild_agreement=2;resolved=52
