ell,L_over_M,observer,smoothing_width_over_M,rms_fraction,persistence_kappa_c_U,tolerance,status,kappa_c_U_departure,kappa_c_U_entry,U_departure_over_M,U_entry_over_M,final_normalized_rate,resolved_end_kappa_c_U
1,20.0,r/M=8,45.0,0.4,0.15,0.1,no_cosmological_entry,2.942276819964798,nan,66.13814988966469,nan,2.174500952826025,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.15,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.174500952826025,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.25,0.05,no_cosmological_entry,2.143738170086821,nan,48.18814988968101,nan,2.110655417867352,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.25,0.1,no_cosmological_entry,2.190449344592218,nan,49.23814988968005,nan,2.110655417867352,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.25,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.110655417867352,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.1568819365442264,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.4,0.1,no_cosmological_entry,2.190449344592218,nan,49.23814988968005,nan,2.1568819365442264,3.827564793924226
1,20.0,r/M=8,45.0,0.4,0.4,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.1568819365442264,3.827564793924226
1,20.0,r/M=8,45.0,0.6,0.15,0.05,no_cosmological_entry,2.348377601253322,nan,52.78814988967682,nan,2.1551503685236613,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.15,0.1,no_cosmological_entry,3.149140592774413,nan,70.78814988966046,nan,2.1551503685236613,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.15,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.1551503685236613,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.25,0.05,no_cosmological_entry,2.348377601253322,nan,52.78814988967682,nan,2.079218528820535,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.25,0.1,no_cosmological_entry,2.399537459044947,nan,53.93814988967577,nan,2.079218528820535,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.25,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.079218528820535,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.071988410783546,3.627374046043953
1,20.0,r/M=8,45.0,0.6,0.4,0.1,no_cosmological_entry,2.399537459044947,nan,53.93814988967577,nan,2.071988410783546,3.627374046043953
