U,schwarzschild_scri_plus,sds_L20_cosmological_horizon,difference_L20,sds_L40_cosmological_horizon,difference_L40,sds_L80_cosmological_horizon,difference_L80,sds_L160_cosmological_horizon,difference_L160
2.2274112777601567,-0.3537328363954153,-0.4114829191488439,-0.05775008275342858,-0.3851074420546783,-0.03137460565926298,-0.37032700741260693,-0.016594171017191628,-0.36197529557131675,-0.00824245917590144
2.2774112777601556,-0.35226219563388644,-0.4150582838038671,-0.06279608816998067,-0.38581645982675555,-0.03355426419286911,-0.3698521738053769,-0.01758997817149044,-0.3609657650523183,-0.008703569418431867
2.3274112777601546,-0.34987835531268263,-0.41790282180718397,-0.06802446649450133,-0.38567622314070993,-0.0357978678280273,-0.36848200254282076,-0.01860364723013813,-0.3590653110380992,-0.009186955725416557
2.3774112777601535,-0.3465855748366814,-0.4199970561426301,-0.07341148130594871,-0.3846480185852015,-0.03806244374852008,-0.3661864981317441,-0.01960092329506269,-0.35623721437314604,-0.00965163953646464
2.4274112777601524,-0.34237199632572424,-0.4213145196368703,-0.07894252331114604,-0.38271385023780946,-0.040341853912085224,-0.3629808761175084,-0.020608879791784163,-0.3524806242834063,-0.010108627957682081
2.4774112777601514,-0.33720290416979976,-0.42183312392243605,-0.0846302197526363,-0.3798719836019394,-0.042669079432139656,-0.35883260794968164,-0.02162970377988188,-0.3477881773445833,-0.010585273174783527
2.5274112777601503,-0.3310896455015841,-0.42153762464120115,-0.09044797913961705,-0.37609453133692416,-0.04500488583534007,-0.35371800664467795,-0.022628361143093856,-0.34213497897567063,-0.011045333474086538
2.577411277760149,-0.32404513185975664,-0.42040739899488105,-0.09636226713512441,-0.371372807971613,-0.04732767611185634,-0.34766703606813903,-0.023621904208382394,-0.3355314630904657,-0.01148633123070908
2.627411277760148,-0.3160545941826078,-0.4184268442188989,-0.10237225003629113,-0.36572279320087975,-0.049668199018271963,-0.34067533035313835,-0.024620736170530566,-0.3279959352570068,-0.011941341074399037
2.677411277760147,-0.30714308906860865,-0.4155897640702512,-0.10844667500164257,-0.35913901544261817,-0.051995926374009516,-0.3327337916773176,-0.025590702608708937,-0.3195281800355939,-0.012385090966985257
2.727411277760146,-0.29736090859728087,-0.4118874450767239,-0.11452653647944305,-0.3516300214429016,-0.05426911284562075,-0.32389517372482846,-0.026534265127547585,-0.31015898136897657,-0.012798072771695701
2.777411277760145,-0.28673258616004516,-0.4073165585566074,-0.12058397239656227,-0.34324021621582546,-0.0565076300557803,-0.3142014280366341,-0.027468841876588934,-0.2999453164316261,-0.01321273027158093
2.827411277760144,-0.2753067465968523,-0.4018869581961199,-0.12658021159926763,-0.3340025538851827,-0.058695807288330404,-0.3036737468358891,-0.02836700023903682,-0.288929807819443,-0.013623061222590716
2.877411277760143,-0.26317806648332936,-0.3956106927105685,-0.13243262622723911,-0.3239543336594047,-0.060776267176075316,-0.29239247598426676,-0.0292144095009374,-0.27717410565004724,-0.013996039166717877
2.9274112777601418,-0.250428828524687,-0.38850536069152913,-0.13807653216684213,-0.31317580228428626,-0.06274697375959926,-0.28045837578516997,-0.03002954726048296,-0.26477963117845277,-0.01435080265376576
2.9774112777601407,-0.23713920881184994,-0.38060521500222705,-0.1434660061903771,-0.30175119393858074,-0.0646119851267308,-0.26793931525825104,-0.030800106446401104,-0.25184356895925514,-0.014704360147405199
3.0274112777601396,-0.22343465263071435,-0.3719529693113423,-0.14851831668062795,-0.28975475840631415,-0.0663201057755998,-0.2549356369647894,-0.03150098433407503,-0.23845982308832733,-0.01502517045761298
3.0774112777601386,-0.20944627007083344,-0.36259646315054034,-0.1531501930797069,-0.27729415163712867,-0.06784788156629523,-0.2415900894047516,-0.03214381933391816,-0.22475402734743605,-0.015307757276602607
3.1274112777601375,-0.19527245606236215,-0.3525999757334787,-0.15732751967111652,-0.2644934376723095,-0.06922098160994733,-0.22800996818162117,-0.032737512119259016,-0.21085482229835775,-0.015582366235995598
3.1774112777601364,-0.18101798205514585,-0.34204084112822164,-0.16102285907307579,-0.2514495213769892,-0.07043153932184337,-0.21428125506653584,-0.03326327301138998,-0.19685851484267622,-0.015840532787530365
3.2274112777601354,-0.16679758079461054,-0.3309987118860908,-0.16420113109148027,-0.2382567488711783,-0.07145916807656774,-0.20052000033863251,-0.03372241954402197,-0.18285413262085268,-0.016056551826242133
3.2774112777601343,-0.1526802579922832,-0.3195606641135583,-0.1668804061212751,-0.22502162842355694,-0.07234137043127373,-0.18681943376740556,-0.03413917577512235,-0.16892994396979574,-0.01624968597751253
3.3274112777601332,-0.13869237267737528,-0.3078225843564239,-0.16913021167904863,-0.2118163466377549,-0.07312397396037962,-0.1732076150935272,-0.03451524241615192,-0.15513398202929934,-0.01644160935192407
3.377411277760132,-0.12486569869196244,-0.2958745439620195,-0.17100884527005705,-0.1986713626594582,-0.07380566396749576,-0.1597070349273688,-0.03484133623540635,-0.14147647342004827,-0.016610774728085823
3.427411277760131,-0.11122648581746991,-0.28379483498878616,-0.17256834917131625,-0.18561830048247607,-0.07439181466500616,-0.14635761460560603,-0.03513112878813612,-0.12797187576164193,-0.016745389944172018
3.47741127776013,-0.0977654441718,-0.27165451977550203,-0.17388907560370204,-0.17268541626661152,-0.07491997209481152,-0.13316336363794415,-0.03539791946614415,-0.11463702411765388,-0.01687157994585388
3.527411277760129,-0.08446951555533977,-0.259510397196577,-0.1750408816412372,-0.15986812563586655,-0.07539861008052678,-0.12009996752378851,-0.035630451968448745,-0.10146591117974567,-0.0169963956244059
3.577411277760128,-0.07135441949300164,-0.24739566914232802,-0.17604124964932638,-0.14715542361266343,-0.07580100411966179,-0.10717582282219146,-0.035821403329189816,-0.08844836679701182,-0.017093947304010176
3.627411277760127,-0.05843357812509284,-0.2353279573427404,-0.17689437921764756,-0.13456186479607102,-0.07612828667097818,-0.09441721377761779,-0.03598363565252495,-0.07559578994090141,-0.01716221181580857
3.6774112777601258,-0.04569320886258715,-0.22332004383291504,-0.17762683497032788,-0.12210001928229251,-0.07640681041970537,-0.08181523423266006,-0.03612202537007291,-0.06292011741962712,-0.017226908557039976
3.7274112777601247,-0.03312500108579823,-0.2113777438535274,-0.17825274276772918,-0.10975771950849117,-0.07663271842269294,-0.06934975448246204,-0.03622475339666381,-0.05041244981578287,-0.01728744872998464
3.7774112777601236,-0.02074623349794974,-0.199499794924679,-0.17875356142672927,-0.09752938667196846,-0.07678315317401872,-0.057036252542316083,-0.036290019044366344,-0.03806572728156343,-0.017319493783613693
3.8274112777601226,-0.008567099646605646,-0.18768750080392904,-0.1791204011573234,-0.08543256199547952,-0.07686546234887387,-0.044896775617267244,-0.0363296759706616,-0.025892746628684616,-0.01732564698207897
3.8774112777601215,0.0034265906032498183,-0.17594701315547065,-0.17937360375872047,-0.07347522052972376,-0.07690181113297358,-0.03291826644751394,-0.036344857050763756,-0.013903135113992495,-0.01732972571724231
3.9274112777601204,0.015241815641155454,-0.16428107258553387,-0.17952288822668933,-0.06164372164504375,-0.07688553728619921,-0.02108364304507099,-0.03632545868622644,-0.0020874454958054686,-0.017329261136960924
3.9774112777601194,0.026862119320443113,-0.15268825317103932,-0.17955037249148242,-0.049935491285916594,-0.0767976106063597,-0.00940987356404186,-0.036271992884484974,0.009560424057782468,-0.017301695262660646
4.027411277760118,0.038277364729178406,-0.1411709192588847,-0.17944828398806312,-0.03836837872597154,-0.07664574345514995,0.002082878571237101,-0.036194486157941304,0.021028232902541102,-0.017249131826637305
4.077411277760117,0.04950036128462707,-0.1297351022465193,-0.17923546353114636,-0.02694872583077493,-0.076449087115402,0.013407395657685919,-0.036092965626941156,0.032306492150282036,-0.017193869134345036
4.127411277760116,0.06053965915924597,-0.11838288175577742,-0.1789225409150234,-0.01566299641108903,-0.07620265557033501,0.024580580853133457,-0.035959078306112516,0.04340360091558347,-0.017136058243662503
4.177411277760115,0.07138138540264936,-0.10711293155722498,-0.17849431695987433,-0.004508500257731106,-0.07588988566038046,0.035587796680406396,-0.03579358872224297,0.05432673592006748,-0.017054649482581882
4.227411277760114,0.08201309160010728,-0.09592780709552501,-0.1779408986956323,0.00649770320137097,-0.07551538839873631,0.04640807409499245,-0.03560501750511483,0.06506578583753445,-0.016947305762572834
4.2774112777601125,0.09244416508703418,-0.08483335565671732,-0.1772775207437515,0.017347919893233872,-0.07509624519380032,0.05705032900388335,-0.03539383608315083,0.07560977340181588,-0.016834391685218303
