r,u,du_dr
2.5513,9.429690126584691e-07,0.000268653489245811
2.5545999999999998,2.2809966545002773e-06,0.0005736557645578447
2.5578999999999996,4.988936332302549e-06,0.0011156908329816024
2.5611999999999995,1.0028212698831705e-05,0.0020072135175902214
2.5645,1.876719651450184e-05,0.003381672248497129
2.5677999999999996,3.304211674684339e-05,0.005388122711225728
2.5710999999999995,5.519754733236911e-05,0.008184381048214203
2.5744,8.810310060281793e-05,0.011929593008446109
2.5776999999999997,0.00013514573895657286,0.01677700551734238
2.5809999999999995,0.00020019942433109928,0.02286754307571182
2.5843,0.00028757545991027375,0.030324576605054113
2.5875999999999997,0.0004019578172343449,0.03925007082672576
2.5908999999999995,0.0005483280729699769,0.04972213206877313
2.5942,0.0007318844437573251,0.06179386000285761
2.5974999999999997,0.0009579589552439529,0.07549333255501228
2.6007999999999996,0.0012319361476053445,0.09082451607422223
2.6041,0.0015591760123507975,0.10776888381578792
2.6073999999999997,0.0019449431521230225,0.12628753611715957
2.6106999999999996,0.002394343507533555,0.14632363779372873
2.614,0.002912269431726988,0.16780501640037693
2.6172999999999997,0.0035033534266511275,0.19064679487291322
2.6205999999999996,0.004171930485725206,0.2147539608825391
2.6239,0.004922008709254634,0.24002380133245693
2.6271999999999998,0.00575724766097427,0.2663481529566955
2.6304999999999996,0.006680943804179929,0.29361543868144035
2.6338,0.0076960222814815606,0.3217124743849825
2.6370999999999998,0.00880503427149187,0.3505260422689103
2.6403999999999996,0.010010159158228017,0.37994423566408336
2.6437,0.011313210775625537,0.4098575862091236
2.647,0.012715647032891231,0.44015998841528065
2.6502999999999997,0.014218582280410728,0.4707494390887859
2.6536,0.015822801835868858,0.5015286102891062
2.6569,0.01752877815254845,0.5324052747717822
2.6601999999999997,0.019336688173786247,0.5632926024560386
2.6634999999999995,0.02124643147739651,0.5941093455785124
2.6668,0.02325764887027198,0.6247799290099396
2.6700999999999997,0.02536974114552404,0.6552344608478604
2.6733999999999996,0.027581887762029734,0.6854086769513006
2.6767,0.029893065248925925,0.7152438316224751
2.6799999999999997,0.03230206517550849,0.7446865452161082
2.6832999999999996,0.03480751156031584,0.7736886181023168
2.6866,0.03740787762215793,0.8022068191454784
2.6898999999999997,0.040101501800856344,0.8302026557016957
2.6931999999999996,0.042886602996802435,0.8576421310860926
2.6965,0.04576129499648675,0.8844954945186884
2.6997999999999998,0.04872360006628218,0.9107369877210053
2.7030999999999996,0.051771461709290464,0.936344591599118
2.7064,0.0549027565903025,0.9612997758056416
2.7096999999999998,0.058115305642205704,0.9855872534158031
2.7129999999999996,0.06140688437373866,1.0091947424729637
2.7162999999999995,0.06477523240357536,1.0321127357488162
2.7196,0.06821806224959158,1.0543342797156812
2.7228999999999997,0.0717330674049386,1.0758547634350462
2.7261999999999995,0.0753179297344794,1.0966717178216512
2.7295,0.07897032622628575,1.116784625539185
2.7327999999999997,0.0826879351334797,1.1361947416171108
2.7360999999999995,0.08646844154175504,1.1549049247427137
2.7394,0.09030954239757416,1.1729194790739514
2.7426999999999997,0.09420895103138638,1.190244006333157
2.7459999999999996,0.0981644012093094,1.2068852678755029
2.7493,0.10217365074560902,1.2228510563763015
2.7525999999999997,0.1062344847070795,1.2381500767452236
2.7558999999999996,0.1103447182391033,1.2527918358509442
2.7592,0.1145021990417395,1.2667865406244703
2.7624999999999997,0.1187048095227766,1.280145004102081
2.7657999999999996,0.12295046865322592,1.292878558967675
2.7691,0.12723713354927324,1.3049989781582036
2.7723999999999998,0.13156280080329147,1.3165184021038605
2.7756999999999996,0.13592550758512378,1.3274492721857374
2.779,0.14032333253347262,1.3378042700070278
2.7822999999999998,0.1447543964559397,1.347596262089076
2.7855999999999996,0.14921686285500552,1.3568382496199531
2.7889,0.15370893829601695,1.3655433229003784
2.7922,0.1582288726321353,1.3737246201495394
2.7954999999999997,0.16277495910009662,1.3813952903511035
