tau,u_rho_0.5,u_rho_0.75,u_rho_0.9,u_rho_0.95,u_rho_1
8.899999999999899,-0.06251951556100684,0.0031081481402150113,0.03319637496041515,0.042532121346396,0.05175660612963698
8.999999999999897,-0.05777669865323535,0.007040745214697261,0.03677655198435373,0.045990563021916175,0.055085398496595356
9.099999999999895,-0.05303071582959744,0.010921280864364918,0.04025977007352803,0.049334392284846346,0.05828011099159082
9.199999999999893,-0.04828776562166132,0.014745193279383617,0.04364283557996673,0.05256100876083886,0.06133883247766306
9.29999999999989,-0.04355399562345223,0.018508010884135166,0.04692267447278593,0.05566794049118465,0.06425978820361378
9.399999999999888,-0.03883549312437229,0.02220535888910575,0.05009633688624783,0.05865284776462376,0.0670413428821501
9.499999999999886,-0.03413827589409555,0.025832965719807116,0.053161001540564606,0.06151352681884584,0.06968200363438057
9.599999999999884,-0.02946828313789887,0.029386669308607234,0.05611398002409217,0.06424791340122644,0.07218042279110114
9.699999999999882,-0.024831366640241548,0.03286242323551536,0.058952720925663726,0.06685408617844675,0.07453540054140709
9.79999999999988,-0.020233282113753217,0.036256302704172336,0.0616748138059441,0.06933026998476682,0.0767458874192893
9.899999999999878,-0.015679680770116736,0.03956451033955199,0.06427799299686757,0.07167483889889224,0.07881098661903864
9.999999999999876,-0.011176101128636845,0.042783381794181584,0.06676014121843793,0.07388631913958048,0.08072995613048496
10.099999999999874,-0.0067279610775732145,0.045909391150028275,0.0691192930024247,0.07596339177037317,0.08250221068532415
10.199999999999871,-0.002340550202577475,0.04893915610358807,0.07135363791278601,0.07790489520412076,0.0841273235060647
10.29999999999987,0.001980977604184404,0.05186944292213897,0.07346152355297883,0.07970982749828012,0.08560502784942012
10.399999999999867,0.006231611241425525,0.05469717115959255,0.0754414583506967,0.08137734843232527,0.08693521833632856
10.499999999999865,0.010406489190649508,0.05741941812088323,0.0772921141109757,0.08290678135899181,0.08811795206113948
10.599999999999863,0.01450090599140404,0.06003342306438526,0.0790123283290653,0.08429761482151142,0.08915344947293274
10.69999999999986,0.018510318389537667,0.06253659113242531,0.08060110625493455,0.08554950392944263,0.09004209502236493
10.799999999999859,0.022430351148976204,0.06492649700057958,0.08205762270180544,0.0866622714862029,0.09078443756792168
10.899999999999856,0.026256802518399715,0.06720088823708945,0.08338122359165019,0.08763590886192936,0.09138119053595395
10.999999999999854,0.02998564934507972,0.06935768836441163,0.08457142723117214,0.08847057660585186,0.09183323182941802
11.099999999999852,0.0336130518290202,0.07139499961562117,0.0856279253123954,0.08916660479294464,0.0921416034807954
11.19999999999985,0.03713535791143671,0.07331110537911943,0.08655058363262705,0.08972449310023616,0.09230751104526579
11.299999999999848,0.04054910729250171,0.07510447232584876,0.08733944252921289,0.09014491060878789,0.09233232273081296
11.399999999999846,0.043851035074176314,0.07677375221399046,0.0879947170251955,0.09042869532801752,0.09221756826258787
