U_over_M,schwarzschild_fine,uniform_sds_L80,exterior_sds_L80,uniform_sds_L160,exterior_sds_L160,uniform_sds_L320,exterior_sds_L320,uniform_sds_L640,exterior_sds_L640
8.747411277760069,0.21723323626991314,0.24876005568893755,0.24303894724215816,0.23268436699338396,0.23049370044643702,0.22487365081468497,0.22407221276213288,0.22102725356902414,0.22074750706200044
8.777411277760063,0.21366271429938044,0.24555613269358217,0.2397808340399282,0.22928591726506975,0.2270740074657363,0.22138653399464342,0.22057712789854816,0.2174978148978304,0.2172152614164597
8.807411277760057,0.2100595570793551,0.24231407519070186,0.23648543025792557,0.2258521620401102,0.2236193260761623,0.2178654458790471,0.21704821406704036,0.21393511868911372,0.21364978324341247
8.83741127776005,0.20642452802894057,0.23903462113619664,0.23315346292705258,0.22238376987637964,0.22013036686063853,0.21431109228480577,0.2134861934701294,0.210339883709502,0.2100518002854399
8.867411277760045,0.2027583945485279,0.2357184679955958,0.2297855897449946,0.21888143750319705,0.21660784476051176,0.21072422778169114,0.20989179195048704,0.2067128102566027,0.2064220438581152
8.897411277760039,0.19906187813794293,0.23236624259171398,0.22638245474006335,0.21534591266476658,0.21305247810886896,0.2071056055607749,0.20626573896639355,0.20305463039493502,0.20276124874470972
8.927411277760033,0.19533568539520044,0.22897859616644142,0.22294477298810986,0.21177793905310663,0.20946498935502603,0.20345593634147874,0.20260876745818698,0.19936611127954856,0.19907015306537457
8.957411277760027,0.19158056761978454,0.22555626455405406,0.21947330360175923,0.20817821490691654,0.20584610426352298,0.19977592266777752,0.19892161371580983,0.1956480070512012,0.19534949822807798
8.987411277760021,0.18779731264334992,0.2220999955487812,0.21596875760716724,0.2045474320371018,0.20219655229678102,0.19606631126369994,0.19520501735129134,0.19190103766693548,0.1916000287454109
9.017411277760015,0.1839866835098715,0.21861046487133412,0.21243179218128508,0.20088633036916476,0.19851706630231236,0.19232787893986872,0.1914597210917864,0.1881259277282289,0.18782249221729158
9.047411277760009,0.18014940214502653,0.215088316770826,0.20886309850993937,0.19719568009532004,0.19480838229820105,0.1885613759436941,0.18768647076395456,0.18432344215825397,0.18401763913576386
9.077411277760003,0.1762862022810984,0.2115342607435222,0.20526343967105645,0.193476221304014,0.19107123978850563,0.18476751720293957,0.18388601513177694,0.18049436237277575,0.18018622284766367
9.107411277759997,0.1723978671000018,0.20794906843406213,0.2016335789472281,0.1897286573221259,0.18730638096755703,0.1809470338657287,0.18005910578813192,0.17663944144071833,0.17632899940354954
9.137411277759991,0.16848519353244581,0.20433347798403145,0.19797421465488502,0.1859537108369022,0.18351455146860438,0.17710070306878645,0.17620649709776148,0.17275940830051917,0.17244672744992137
9.167411277759985,0.16454893992994454,0.20068815863704131,0.19428602394024602,0.18215215365562343,0.17969649935744447,0.1732293101730034,0.1723289459933749,0.16885501322848845,0.1685401681565463
9.19741127775998,0.1605898373472221,0.19701378927792332,0.1905697443124593,0.1783247644281164,0.17585297580543782,0.16933360310484133,0.16842721197361096,0.1649270436517969,0.16461008502979604
9.227411277759973,0.15660864542678582,0.1933111258028039,0.18682616503633576,0.17447228088325353,0.1719847344490083,0.1654143086387252,0.16450205688901226,0.16097628670664654,0.16065724389568103
9.257411277759967,0.15260616725645015,0.1895809534508575,0.18305604357092722,0.17059541954938812,0.16809253144220473,0.16147218417224055,0.16055424489877437,0.15700349630095692,0.1566824126878918
9.287411277759961,0.14858320188785612,0.18582399995675344,0.1792600768683398,0.16669493128100998,0.16417712558423075,0.15750802583195356,0.15658454233090674,0.1530094139505324,0.15268636141031694
9.317411277759955,0.14454050665980878,0.18204094262695786,0.17543896986126675,0.16277160784564826,0.16023927759425363,0.15352262169243402,0.1525937175423739,0.14899481083563368,0.14866986198391838
