cosmological_length_over_M,refinement_level,resolution,window,window_family,window_start_U_over_M,window_end_U_over_M,reference_l2,difference_l2,E2,difference_linf_absolute,Einf,reference,raw_unshifted,amplitude_rescaling_fitted,time_dilation_fitted,background_transfer_correction_used
80,medium,512,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.025696130058746304,0.07693672113388532,0.011498911720299362,0.06537109019804777,frozen_fine_Schwarzschild,True,False,False,False
80,medium,512,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.003737472775115004,0.07663965419871185,0.0016823466294290789,0.06218671322634456,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.09794135766586778,0.09632877971778311,0.03514969025416554,0.09917254200610393,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.09801324832152225,0.09628779224253274,0.03514969025416554,0.09917254200610393,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.07225120388109528,0.11048815802415288,0.03514969025416554,0.12383863150200358,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.04797343514163317,0.10839469594740113,0.022200559744463555,0.0934219828577061,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.02568624028806653,0.07690711019530709,0.011487196166741626,0.06530448750320397,frozen_fine_Schwarzschild,True,False,False,False
80,fine,768,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.003745165735553584,0.07679740406426346,0.0017003161759475598,0.0628509443762185,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.048697076788332454,0.04789529259790952,0.017597894253212253,0.049651302598287976,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.0487333701888783,0.047875452598327616,0.017597894253212253,0.049651302598287976,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.03598201187339488,0.055024497867707106,0.017597894253212253,0.06200052193565242,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.024096484808901832,0.05444536411767918,0.01115142243913672,0.04692620402095375,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.012845144553536457,0.03845961637727237,0.0057750299273955415,0.032830933175506706,frozen_fine_Schwarzschild,True,False,False,False
160,coarse,768,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0018766697021623624,0.038482505605541804,0.0008562695295118812,0.031651377156610566,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.04869604002580206,0.04789427290539361,0.01759473870609206,0.04964239942938188,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.048732986017093874,0.04787507518962422,0.01759473870609206,0.04964239942938188,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.03598094682259127,0.0550228691681814,0.01759473870609206,0.06198940438001596,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.024104097692322295,0.05446256522452525,0.01115750520117123,0.046951800839099625,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.012839190578245285,0.03844178959418995,0.005765784833966774,0.03277837499860076,frozen_fine_Schwarzschild,True,False,False,False
160,medium,1024,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0018937238543681263,0.0388322136586424,0.0008798315187409688,0.03252232886275732,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.04869661167593599,0.04789483514346279,0.017595590360633993,0.04964480231672524,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.04873321435995678,0.04787529951266748,0.017595590360633993,0.04964480231672524,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.03598155514793974,0.05502379943291917,0.017595590360633993,0.0619924049109516,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.024102468365361,0.054458883803754625,0.011156090253261513,0.046945846609076254,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.0128409041800531,0.038446920285236455,0.00576834657453377,0.03279293844405912,frozen_fine_Schwarzschild,True,False,False,False
160,fine,1536,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0018848140052874134,0.03864951058798591,0.0008727992576202625,0.03226238647157808,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.024732980184526805,0.02432575835927859,0.008964005937909705,0.025291353892228485,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.02475214931441758,0.024316404685665798,0.008964005937909705,0.025291353892228485,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.018284388675295537,0.027960896383896483,0.008964005937909705,0.031581792616081926,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.012302213220309072,0.027796522336968173,0.005693335798552604,0.023958076980837767,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.006543768783751303,0.019592682358359027,0.002947090301537252,0.016754151228371022,frozen_fine_Schwarzschild,True,False,False,False
320,coarse,1024,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0009720996785459648,0.019933625659159283,0.00043794943991927405,0.01618848087040211,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.02473289752455928,0.024325677060285062,0.008963491079892513,0.025289901254154923,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.02475181084218086,0.024316072172000887,0.008963491079892513,0.025289901254154923,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.018284375197086207,0.027960875772717123,0.008963491079892513,0.03157997867940692,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.01230420240349324,0.02780101684326723,0.0056948490298002075,0.02396444479612263,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.00654245740374192,0.019588755958630674,0.0029446853716216634,0.01674047924842579,frozen_fine_Schwarzschild,True,False,False,False
320,medium,1536,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0009656394516457096,0.019801153910073286,0.0004467534380556521,0.016513914225083606,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.024733039952299196,0.024325817142990782,0.008963545294170826,0.02529005421617975,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.024752253685398132,0.02431650721926675,0.008963545294170826,0.02529005421617975,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.018284541642110186,0.027961130304172986,0.008963545294170826,0.031580169685984386,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.01230460848956574,0.027801934383906695,0.005695055996987003,0.02396531573294582,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.006542601259750489,0.01958918667755953,0.002944450896990804,0.016739146264695165,frozen_fine_Schwarzschild,True,False,False,False
320,fine,2048,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0009733307426263848,0.01995886954215103,0.0004494066138617125,0.016611986929070028,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.012628258694046638,0.012420337832236644,0.004581228515084721,0.012925635306216059,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.01264762473634799,0.012424971968892288,0.004581228515084721,0.012925635306216059,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.009343685897446073,0.014288573594760432,0.004581228515084721,0.016140485614629677,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.0063096505053474245,0.014256486866998548,0.002922479304338783,0.012298059806353583,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.003345005046533905,0.01001527155522088,0.0014997228362902725,0.008525895248863699,frozen_fine_Schwarzschild,True,False,False,False
640,coarse,768,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0006991630794594859,0.014336858048854338,0.00025823123949952464,0.009545328980324386,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.012628783942559708,0.012420854432675094,0.00458237235708898,0.012928862581290048,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.01265450193672236,0.012431728100866258,0.00458237235708898,0.012928862581290048,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.00934418452876073,0.014289336112926638,0.00458237235708898,0.016144515574138214,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.006307746184714689,0.01425218410536886,0.002920834294789321,0.012291137455939924,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.0033470296969151494,0.010021333556052107,0.0015022583875087178,0.008540309808383289,frozen_fine_Schwarzschild,True,False,False,False
640,medium,1024,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.000805952310382356,0.01652665051625855,0.00025660745078311814,0.009485306817542383,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.012629912394766681,0.012421964305221873,0.004583606119657214,0.012932343561328252,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.0126396751839666,0.01241716236293362,0.004583606119657214,0.012932343561328252,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.009345326481898375,0.014291082413222697,0.004583606119657214,0.016148862339840662,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.006303859472763005,0.014243402183478254,0.0029180403968177993,0.012279380478124676,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.003348079615770301,0.010024477115568163,0.0015082030554144897,0.008574105130177057,frozen_fine_Schwarzschild,True,False,False,False
640,fine,1536,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0004958012786728141,0.010166773334581528,0.00022873949635460585,0.008455188255805289,frozen_fine_Schwarzschild,True,False,False,False
