pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
1,44.0,62.0,55.94455795711086,56.051232146192596,55.997895051651724,0.10667418908173687,0.0005000000000006111,0.1066753608676631,0.004958851519517271,0.004716151345558444,0.004837501432537857,0.00024270017395882672,-0.0039597901881628355,5.952985371855498e-05,2.323112756061944e-05,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,4.956728766026363,56.80306663492168,-0.8051715832699529,0.16218554224698534
2,61.0,77.0,67.87173351056421,67.85275785408861,67.8622456823264,0.01897565647560384,0.0005000000000006111,0.01898224271997718,0.0015706212922183666,0.0015941472180993998,0.0015823842551588832,2.3525925881033236e-05,0.001569576040349397,4.81963498906312e-06,2.6625480626163494e-06,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,7.220676836441534,67.9079000715456,-0.04565438921919451,0.32710775949656523
3,77.0,98.0,89.37797563584678,89.47662144308148,89.42729853946413,0.0986458072347034,0.0005000000000006111,0.09864707438635097,0.0001892911627491401,0.0001855299841511669,0.00018741057345015352,3.7611785979732094e-06,9.255647484478666e-05,8.051339941985124e-08,3.940601833478568e-08,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,11.335706923135946,89.87713911368192,-0.449840574217788,0.11843556509056398
0,20.0,42.0,29.876956085868745,29.858072925915813,29.86751450589228,0.01888315995293155,0.0005000000000006111,0.01888977844782724,0.028691506025928067,0.02873013730247334,0.028710821664200706,3.863127654527357e-05,-0.028682779396819017,0.0017374103442157327,0.0006579705033834753,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,0.0,29.8698274785805,-0.0023129726882196167,
1,44.0,62.0,55.626620824829146,55.66672496563279,55.646672895230964,0.040104140803642,0.0005000000000006111,0.040107257567656554,0.004937425378052731,0.004847169837229517,0.0048922976076411235,9.025554082321436e-05,-0.0036165978366509274,5.738596200207641e-05,2.4915278095174e-05,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,4.950725250417289,56.40578585232748,-0.7591129570965194,0.1703990803489017
2,61.0,77.0,67.43894036914821,67.42908616694484,67.43401326804653,0.009854202203371187,0.0005000000000006111,0.009866878993122708,0.001634502028603312,0.001640433694865433,0.0016374678617343723,5.93166626212103e-06,0.0016343195386644242,5.204557812774134e-06,2.808558726374823e-06,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,7.214409841575043,67.44729124708061,-0.01327797903408623,0.33470324028874765
3,77.0,98.0,88.87782118330034,88.91311670988387,88.8954689465921,0.03529552658352486,0.0005000000000006111,0.03529906793115522,0.00019179978490213966,0.00019026567029745977,0.00019103272759979972,1.5341146046798882e-06,7.239720563900674e-05,8.193133667859688e-08,4.2103789877619075e-08,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,11.335947439265901,89.277468668746,-0.38199972215389266,0.11666349738153747
0,20.0,42.0,29.793771305220773,29.784080026046272,29.78892566563352,0.009691279174500522,0.0005000000000006111,0.009704168796868083,0.028184623139004564,0.028196280181673777,0.02819045166033917,1.1657042669213635e-05,-0.028182245516393686,0.0016656455548203482,0.0006421052503871388,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,0.0,29.780147138375423,0.008778527258098023,
1,44.0,62.0,55.516060791941705,55.53372886726162,55.524894829601664,0.017668075319917875,0.0005000000000006111,0.01767514881154588,0.00496243637834673,0.004923108083916955,0.004942772231131843,3.9328294429774764e-05,-0.003490819882194494,5.755663894676888e-05,2.5823350663840874e-05,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,4.950277010487729,56.2630894095029,-0.7381945799012399,0.1753349783354402
2,61.0,77.0,67.29168195899588,67.28740971425574,67.28954583662582,0.004272244740135989,0.0005000000000006111,0.004301403854513109,0.0016636209258071325,0.001665294326780218,0.0016644576262936752,1.6734009730854597e-06,0.0016627380155348939,5.391602685102467e-06,2.89341163825395e-06,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,7.2131908741715565,67.29133598253372,-0.0017901459079041615,0.33674576704347386
3,77.0,98.0,88.72056164004222,88.73959908343257,88.7300803617374,0.019037443390345743,0.0005000000000006111,0.019044008266135032,0.00019369495879478278,0.00019301975132094128,0.00019335735505786203,6.752074738414953e-07,6.540515694224116e-05,8.337810069360702e-08,4.359620938519528e-08,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,11.337247150273475,89.08747893176111,-0.3573985700237188,0.11616838542680104
0,22.0,43.0,32.98012486268306,32.98012486259723,32.980124862640146,8.58335624798201e-11,0.0005000000000006111,0.0005000000000006184,0.02588013084300737,0.02588013084302614,0.025880130843016755,1.8769708010069053e-14,-0.025879996760060916,0.001474984313760552,0.0005048036223897531,0.5,schwarzschild,0.5,0.19245008972987526,0.0,32.98424120432105,-0.0041163416809055775,
1,44.0,61.0,53.01560425482536,53.01560425750659,53.01560425616597,2.6812259079633805e-09,0.0005000000000006111,0.0005000000000078001,0.005736085593522432,0.005736085593921198,0.005736085593721815,3.987660895932166e-13,-0.0016661147506933144,7.461323709097093e-05,4.070388092083229e-05,0.5,schwarzschild,0.5,0.19245008972987526,3.855829807065112,53.3203336090007,-0.3047293528347268,0.22164051752735187
2,60.0,77.0,69.80641941073641,69.80641940556252,69.80641940814947,5.1738879847107455e-09,0.0005000000000006111,0.0005000000000273801,0.001228240865767318,0.001228240865997162,0.00122824086588224,2.2984392167302303e-13,0.0012226280732982873,2.9979936937219527e-06,1.5505194636701013e-06,0.5,schwarzschild,0.5,0.19245008972987526,7.087223689702085,69.91172750609154,-0.1053080979420713,0.21412526814916397
3,76.0,96.0,86.1089971339995,86.10899713400116,86.10899713400033,1.6626700016786344e-12,0.0005000000000006111,0.0005000000000006111,0.00023288224250602672,0.00023288224250602815,0.00023288224250602742,1.4365678785432934e-18,2.193803767100014e-05,1.1963942134550444e-07,6.551719255514804e-08,0.5,schwarzschild,0.5,0.19245008972987526,10.22465623587035,86.24722943255836,-0.1382322985580231,0.1896063296499658
0,22.0,43.0,35.82612430765021,35.723825035548224,35.77497467159922,0.10229927210198753,0.0005000000000006111,0.10230049399976758,0.02653732052717043,0.028069910755167973,0.0273036156411692,0.0015325902279975448,-0.026331777989519807,0.0017529758467678988,0.0004883187654546874,0.5,sds_L12,0.5,0.1734721666221777,0.0,35.89910216823236,-0.12412749663314315,
1,44.0,61.0,57.32267768805864,57.015604107861726,57.16914089796018,0.30707358019691355,0.0005000000000006111,0.3070739872652034,0.005692770331706922,0.0037912968987271504,0.004742033615217037,0.0019014734329797717,-0.0052436858886769295,9.082213014809984e-05,2.222387135135735e-05,0.5,sds_L12,0.5,0.1734721666221777,3.7112923683618564,58.37826250520386,-1.2091216072436737,0.1736778629445273
2,60.0,77.0,65.46011892418572,65.80641955770004,65.63326924094288,0.3463006335143177,0.0005000000000006111,0.3463009944721756,0.0010561600341395013,0.00036694846031865794,0.0007115542472290796,0.0006892115738208434,-0.0010275490606173189,1.2033559854691701e-05,1.7758325290950284e-06,0.5,sds_L12,0.5,0.1734721666221777,5.179583050587247,76.70817493894114,-11.074905697998261,0.15005255233655967
3,76.0,96.0,79.16142770238548,82.10899728096312,80.63521249167431,2.9475695785776423,0.0005000000000006111,2.947569620985462,0.0006445049096792233,0.0001738749642080158,0.00040918993694361955,0.0004706299454712075,-0.00045682640593922296,2.1290442041257184e-06,4.344683226241831e-07,0.5,sds_L12,0.5,0.1734721666221777,7.782002649834585,94.82762826531109,-14.192415773636782,0.5750649912316297
0,22.0,43.0,34.31267014301315,34.24932599250521,34.280998067759185,0.06334415050793751,0.0005000000000006111,0.0633461238243686,0.026382585363442866,0.0270710318168526,0.026726808590147734,0.0006884464534097322,-0.026288084096422266,0.0016051264969286023,0.0005044140766964644,0.5,sds_L20,0.5,0.18584142981864143,0.0,34.361266972403115,-0.08026890464392977,
1,44.0,61.0,54.41716543505916,54.83934277761554,54.62825410633735,0.42217734255638106,0.0005000000000006111,0.42217763864038077,0.005511749832042941,0.005163408541129027,0.005337579186585985,0.0003483412909139139,-0.004193396280297464,7.152371281045905e-05,3.029381419356634e-05,0.5,sds_L20,0.5,0.18584142981864143,3.7813631550953524,55.20487577612555,-0.5766216697881958,0.1997088117940714
2,60.0,77.0,72.005032797096,72.07815801336416,72.04159540523008,0.07312521626815283,0.0005000000000006111,0.07312692564482745,0.0010348475611153855,0.00111962761302366,0.0010772375870695228,8.478005190827457e-05,0.0009460888291236079,2.5072698381602597e-06,1.2463401073292762e-06,0.5,sds_L20,0.5,0.18584142981864143,7.017483400001576,72.33259549633163,-0.29100009110155156,0.20182137808404937
3,76.0,96.0,88.55694538177504,89.02373568230982,88.79034053204242,0.46679030053478243,0.0005000000000006111,0.466790568320904,0.000225093660112276,0.00021466090707599164,0.00021987728359413382,1.0432753036284368e-05,0.00015483644740565318,1.1765514537031048e-07,5.050374090180666e-08,0.5,sds_L20,0.5,0.18584142981864143,10.130094142036384,89.24679410350879,-0.4564535714663691,0.20411215337582106
0,22.0,43.0,33.58320597212162,33.54749391283735,33.565349942479486,0.0357120592842648,0.0005000000000006111,0.035715559330953286,0.02610095161408637,0.026346834383880725,0.026223892998983547,0.0002458827697943561,-0.02607222625107234,0.001525427181677384,0.0005051577230953735,0.5,sds_L40,0.5,0.1908193832843955,0.0,33.61041620402265,-0.04506626154316251,
1,44.0,61.0,53.43062961697999,53.59717180757394,53.513900712276964,0.16654219059395103,0.0005000000000006111,0.16654294115282076,0.005473346806620745,0.005361306557790516,0.005417326682205631,0.00011204024883022887,-0.002870444026233068,6.802111914219888e-05,3.503489713046806e-05,0.5,sds_L40,0.5,0.1908193832843955,3.8065701553102076,53.956760598160734,-0.44285988588377023,0.20657980424247496
