phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,observer,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,phase_residual_from_minus_pi_over_2
-1.586360317229346,-1.0099083440475103,0.29153782366660724,0.9999960579403083,sds_L20,outer,2->3,0.22341272659299566,0.20787957635076193,-0.015563990434449337
-0.7982104907019365,-0.5081565808920823,0.40505858300334957,0.9963472738849791,sds_L40,r8M,0->1,0.4935302481857675,0.20787957635076193,0.77258583609296
-1.5623510618219771,-0.9946235773353561,-0.43406472906380555,0.9996568116509407,sds_L40,r8M,1->2,0.17799564300757983,0.20787957635076193,0.00844526497291942
-1.598789516319024,-1.0178210179426925,0.4438290261073313,0.9999437499891174,sds_L40,r8M,2->3,0.2135078504129949,0.20787957635076193,-0.027993189524127438
-0.779260276148181,-0.4960924996165536,0.3656611581787814,0.9971317826885865,sds_L40,r12M,0->1,1.0208871164078333,0.20787957635076193,0.7915360506467155
-1.5482702028698838,-0.9856594241145344,-0.4237226750138791,0.9994287675340228,sds_L40,r12M,1->2,0.17238286848067544,0.20787957635076193,0.022526123925012742
-1.5996365424781993,-1.018360251543336,0.4318789788555975,0.9999485101807905,sds_L40,r12M,2->3,0.21291583639923406,0.20787957635076193,-0.028840215683302747
-0.7646881367457102,-0.48681558754724397,0.3362918956425872,0.9976995881319921,sds_L40,outer,0->1,2.034789746977149,0.20787957635076193,0.8061081900491863
-1.5118228199335904,-0.9624562994862372,-0.39521577594654994,0.9990389331488465,sds_L40,outer,1->2,0.16212012346489393,0.20787957635076193,0.0589735068613062
-1.6023850005236708,-1.0201099742786062,0.39196945859191046,0.9999833725738877,sds_L40,outer,2->3,0.21374313768609451,0.20787957635076193,-0.031588673728774275
-0.810489020641943,-0.5159733358274977,0.40248737230857584,0.9962691916367451,sds_L80,r8M,0->1,0.4889882281630405,0.20787957635076193,0.7603073061529536
-1.5675943234579968,-0.9979615413645426,-0.45058532594371825,0.999672584212744,sds_L80,r8M,1->2,0.17946215872631613,0.20787957635076193,0.0032020033368997947
-1.6037122588557151,-1.020954933175825,0.45351235078482494,0.9999439946704679,sds_L80,r8M,2->3,0.21176180739097245,0.20787957635076193,-0.032915932060818553
-0.7921126103008301,-0.5042745496592052,0.3625460340543636,0.9970449578296602,sds_L80,r12M,0->1,1.0088201966993813,0.20787957635076193,0.7786837164940664
-1.552843283702422,-0.9885707377931634,-0.44300270117934304,0.9994488726136763,sds_L80,r12M,1->2,0.17398155727792855,0.20787957635076193,0.017953043092474585
-1.6044600679342356,-1.021431003221167,0.44451259315066793,0.9999401287262752,sds_L80,r12M,2->3,0.2111717301658703,0.20787957635076193,-0.03366374113933901
