case,observer,pulse,spatial_timing_over_M,spatial_relative_amplitude,spatial_relative_energy,spatial_phase_radians,spatial_focus_width_radians,temporal_timing_over_M,temporal_relative_amplitude,temporal_relative_energy,temporal_phase_radians,temporal_focus_width_radians,angular_timing_over_M,angular_relative_amplitude,angular_relative_energy,angular_phase_radians,angular_focus_width_radians,source_width_timing_over_M,source_width_relative_amplitude,source_width_relative_energy,source_width_phase_radians,source_width_focus_width_radians,estimator_timing_over_M,cadence_timing_over_M,fixed_source_timing_uncertainty_over_M,total_timing_uncertainty_over_M,timing_target_over_M,fixed_source_timing_claim_resolved,timing_claim_resolved
sds_L40,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.12724350308417343,0.30809940917833856,0.6807638971712344,nan,0.1416666666666665,0.0020985886314726088,0.0005000000000006111,0.0021577208977789242,0.12726179645362848,0.01,True,False
sds_L40,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.09892167029799026,0.3555569966344173,0.7395370310695222,0.02749023131314643,0.23166666666666658,0.004922803633469641,0.0005000000000006111,0.004953569170148552,0.0990456192977142,0.01,True,False
sds_L40,r8M,2,0.00010654093090067818,1.84405086423034e-06,2.122741069809919e-06,1.3762463817901248e-05,0.0,0.00015202966037008991,1.3033794969974366e-06,1.7110509817896968e-06,5.454624682843523e-05,0.0,1.0637108971423004e-08,1.0977685427349115e-10,2.254196829198918e-12,1.2385557024430227e-09,0.0,0.6710364448373412,0.4294114826426093,0.7399708892553145,0.030226710204478868,0.21333333333333326,0.03448974366466473,0.0005000000000006111,0.034493867310610216,0.6719224190202169,0.01,False,False
sds_L40,r8M,3,0.0009262248085377678,1.7291692228638134e-05,5.54746251368865e-06,3.738089848726034e-05,0.0,0.0025985142221713886,6.515216642299926e-06,4.3303361265678575e-06,0.00017473132704859395,0.0,5.8106905953536625e-09,1.5095935612663425e-10,2.341016269724605e-12,2.3226820466959452e-10,0.0,0.032837438846485156,0.38032944528201373,0.7451004616603472,0.034881885312142646,nan,0.017657220068343804,0.0005000000000006111,0.017878411257735833,0.03738896868191723,0.01,False,False
sds_L40,r12M,0,7.028467470959754e-05,4.4623496897600035e-08,2.0076905959953706e-07,nan,0.0,1.3677750736462713e-06,2.629207962456803e-10,1.4990163467176743e-06,nan,0.0,3.988843388924579e-08,5.304364725233768e-10,4.644633566641687e-10,nan,0.0,0.09034699511315836,0.27496039261962213,0.6478728660541777,nan,0.18333333333333335,0.005882687518635521,0.0005000000000006111,0.0059043165777090175,0.09053971769464973,0.01,True,False
sds_L40,r12M,1,3.603071851188133e-05,4.337345482774424e-09,2.4011583388272584e-08,9.440783868441828e-06,0.0,2.6270805683736853e-05,2.3432653073474086e-06,1.4085790835949297e-06,4.104239884950012e-06,0.0,8.578751931054285e-09,3.308900931031644e-10,2.5878299503290236e-11,8.921615002321914e-09,0.0,0.12569134306845342,0.35671071075945626,0.7394414309506192,0.06016642645445325,0.23166666666666658,0.0021057578813170608,0.0005000000000006111,0.002164764334219981,0.12570998340217202,0.01,True,False
sds_L40,r12M,2,0.0009055058288964801,1.0500016065506657e-06,1.3839391981296245e-06,0.00019219217966459648,0.0016666666666664831,9.058344754464542e-05,1.4123718978797939e-06,1.6691981876704176e-06,1.5350379841683193e-05,0.0,9.55948564751452e-09,1.0204170841632276e-10,3.0698776853910203e-12,3.845843421501627e-09,0.0,0.609908999186004,0.42721940991340646,0.739876489545084,0.024250007509090347,nan,0.03811219983460745,0.0005000000000006111,0.03812634158164508,0.6110995051630081,0.01,False,False
sds_L40,r12M,3,0.00035926346649262086,1.4973620302671797e-05,5.011603945725973e-06,5.0363593274260765e-05,0.0,0.0004356385345971603,6.094767998621187e-06,3.1053998981178665e-06,2.8249020247450574e-06,0.0,8.682107477397949e-09,1.5821632892709658e-10,1.0257350524511821e-12,1.4241030577011315e-10,0.0,0.01925857042378709,0.3752791971763967,0.7442377504358265,0.021310800650772066,nan,0.01465712670599828,0.0005000000000006111,0.014676519152951296,0.02421348279812124,0.01,False,False
sds_L40,outer,0,7.677618327761593e-07,4.93944662949275e-10,4.744589165994739e-10,nan,nan,5.4694252053621994e-05,1.8540397217492455e-08,1.5336718498515367e-06,nan,nan,5.364373834026992e-09,3.006350723921969e-11,2.1997270671647584e-10,nan,nan,0.09239717914923773,0.2678895886885856,0.6399552127178476,nan,nan,0.026909387461472534,0.0005000000000006111,0.026914087864951888,0.09623724248095787,0.01,False,False
sds_L40,outer,1,2.4352345207034887e-07,3.208424637080043e-10,1.0443226283740614e-09,7.352598863086257e-09,0.0,4.0602486919283365e-05,1.410884259533951e-06,1.3332242373431669e-06,1.394847994329318e-06,0.0,4.092682814871296e-08,4.464768554868215e-10,1.1075362849055637e-11,1.2948762062592323e-09,0.0,0.13801596216143253,0.3571896826085268,0.7390752755685253,0.07128831034673266,0.2366666666666667,0.0019102692131980348,0.0005000000000006111,0.001975038503375455,0.13803009305378228,0.01,True,False
sds_L40,outer,2,0.0004638736648558961,3.2600711485919476e-07,2.681696484874152e-07,0.000197071775362323,0.0,5.8470679071831455e-05,1.726856032169266e-06,1.7001552722328839e-06,3.9418269878410677e-05,0.0,5.418129944700922e-09,1.188413811803457e-10,9.93294335671635e-12,1.6944296188370345e-08,0.0,0.5807650609480248,0.4214587985211401,0.7394307869152004,0.02132425319054798,nan,0.0725923244542841,0.0005000000000006111,0.07259555197994806,0.5852846915691853,0.01,False,False
sds_L40,outer,3,0.00011933292012145102,1.0503056426247603e-05,4.33588352433123e-06,2.214888441853802e-05,0.0,0.0003163918913173802,4.0849526684594295e-06,2.239249708879676e-06,4.7411099797223235e-06,0.0,2.1938859617876005e-09,1.5254919549789747e-10,1.8047785488306545e-12,9.57989243488555e-12,0.0,0.0156712616322352,0.372465834129442,0.7433378919435462,0.021397584947760784,nan,0.007394534861518309,0.0005000000000006111,0.0074191300024282585,0.017338740759896554,0.01,True,False
sds_L80,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.13955035040291364,0.31353379590770714,0.6869240603080407,nan,0.14666666666666672,0.00023787997453439402,0.0005000000000006111,0.0005552225777562499,0.1395514549178432,0.006590393999781697,True,False
sds_L80,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.1973003029028746,0.3639455794249372,0.7395773941092729,0.020586726455649296,0.22333333333333338,0.0023599673895091655,0.0005000000000006111,0.002423488805274541,0.1973151865000648,0.006590393999781697,True,False
sds_L80,r8M,2,0.00010654093090067818,1.84405086423034e-06,2.122741069809919e-06,1.3762463817901248e-05,0.0,0.00015202966037008991,1.3033794969974366e-06,1.7110509817896968e-06,5.454624682843523e-05,0.0,1.0637108971423004e-08,1.0977685427349115e-10,2.254196829198918e-12,1.2385557024430227e-09,0.0,0.10903518570815152,0.40384034911451394,0.7404354974127143,0.015140875222080075,0.265,0.007697045333443953,0.0005000000000006111,0.007715501983202033,0.10930782539811083,0.006590393999781697,False,False
sds_L80,r8M,3,0.0009262248085377678,1.7291692228638134e-05,5.54746251368865e-06,3.738089848726034e-05,0.0,0.0025985142221713886,6.515216642299926e-06,4.3303361265678575e-06,0.00017473132704859395,0.0,5.8106905953536625e-09,1.5095935612663425e-10,2.341016269724605e-12,2.3226820466959452e-10,0.0,0.21519718268066867,0.3737623964230219,0.7429187953355229,0.030394211501415525,0.21666666666666679,0.0033931704848697564,0.0005000000000006111,0.004401565005563752,0.21524219197962857,0.006590393999781697,True,False
sds_L80,r12M,0,7.028467470959754e-05,4.4623496897600035e-08,2.0076905959953706e-07,nan,0.0,1.3677750736462713e-06,2.629207962456803e-10,1.4990163467176743e-06,nan,0.0,3.988843388924579e-08,5.304364725233768e-10,4.644633566641687e-10,nan,0.0,0.09485928615910666,0.2779253340534642,0.6517674413614571,nan,0.18666666666666676,0.0014143587673238756,0.0005000000000006111,0.0015017831170329812,0.09487117329908959,0.006204460534127066,True,False
sds_L80,r12M,1,3.603071851188133e-05,4.337345482774424e-09,2.4011583388272584e-08,9.440783868441828e-06,0.0,2.6270805683736853e-05,2.3432653073474086e-06,1.4085790835949297e-06,4.104239884950012e-06,0.0,8.578751931054285e-09,3.308900931031644e-10,2.5878299503290236e-11,8.921615002321914e-09,0.0,0.2132655812060591,0.36658595820437967,0.7397295866778907,0.047895130504263306,0.21499999999999986,0.00165257100879046,0.0005000000000006111,0.0017271303677130687,0.21327257467022165,0.006204460534127066,True,False
sds_L80,r12M,2,0.0009055058288964801,1.0500016065506657e-06,1.3839391981296245e-06,0.00019219217966459648,0.0016666666666664831,9.058344754464542e-05,1.4123718978797939e-06,1.6691981876704176e-06,1.5350379841683193e-05,0.0,9.55948564751452e-09,1.0204170841632276e-10,3.0698776853910203e-12,3.845843421501627e-09,0.0,0.12681037262197492,0.40206139764897175,0.7402544308721806,0.0037234477606835625,0.2566666666666668,0.0097136720457911,0.0005000000000006111,0.00976901073704037,0.12718610055860874,0.006204460534127066,False,False
sds_L80,r12M,3,0.00035926346649262086,1.4973620302671797e-05,5.011603945725973e-06,5.0363593274260765e-05,0.0,0.0004356385345971603,6.094767998621187e-06,3.1053998981178665e-06,2.8249020247450574e-06,0.0,8.682107477397949e-09,1.5821632892709658e-10,1.0257350524511821e-12,1.4241030577011315e-10,0.0,0.21705393882692192,0.37462994180765685,0.7427584308808797,0.037520961766373206,0.20999999999999996,0.0032907451759598416,0.0005000000000006111,0.0033760709388816483,0.21708019305147472,0.006204460534127066,True,False
