pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,cosmological_length_over_M,observer,observer_radius_over_M,output_cadence_over_M,delay_over_M,amplitude_ratio,flux_energy_ratio
2,53.0,69.0,62.737261912016365,62.77537411185097,62.75631801193367,0.03811219983460745,0.0005000000000006111,0.038115479483184424,0.010677785693200074,0.010789126856715157,0.010733456274957615,0.0001113411635150826,0.0077729300720884775,0.000219004484334577,0.00017408302759177878,0.0,sds_L40,40.0,r12M,12.0,0.0010000000000012221,17.707953036944602,0.17238286848067544,0.03552967632816522
3,69.0,86.0,78.82856340907377,78.84322053577976,78.83589197242677,0.01465712670599828,0.0005000000000006111,0.014665652500850026,0.0022986678142794775,0.002271977826194938,0.002285322820237208,2.6689988084539415e-05,0.0021289746328317523,9.607975015898885e-06,7.2676865678251905e-06,1.0,sds_L40,40.0,r12M,12.0,0.0010000000000012221,16.079573960493093,0.21291583639923406,0.04174839252490352
0,18.0,35.0,26.599894958835737,26.572985571374264,26.586440265105,0.026909387461472534,0.0005000000000006111,0.026914032279679978,0.03664132752343726,0.03663094886087199,0.036636138192154624,1.0378662565271868e-05,-0.03663536575371103,0.0026007897544211645,0.0013311894088781308,0.0,sds_L40,40.0,outer,38.959774129251116,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,44.4224435122228,44.4205332430096,44.4214883776162,0.0019102692131980348,0.0005000000000006111,0.0019746210945122736,0.07501586166257139,0.07407781506189696,0.07454683836223418,0.0009380466006744248,-0.06974447537844206,0.010552433193419999,0.006903077528616856,1.0,sds_L40,40.0,outer,38.959774129251116,0.0010000000000012221,17.8350481125112,2.034789746977149,5.185646372017392
2,53.0,69.0,62.36897445087484,62.44156677532912,62.405270613101976,0.0725923244542841,0.0005000000000006111,0.07259404637899759,0.011987718267761566,0.012183367010644227,0.012085542639202897,0.0001956487428826613,0.00777555574464907,0.00027952686548298475,0.000223600935330882,0.0,sds_L40,40.0,outer,38.959774129251116,0.0010000000000012221,17.983782235485776,0.16212012346489393,0.0323914854503574
3,69.0,86.0,78.53652735367105,78.54392188853257,78.5402246211018,0.007394534861518309,0.0005000000000006111,0.00741141995964405,0.0025991808968130795,0.0025672227118715427,0.002583201804342311,3.195818494153681e-05,0.0024444378812558554,1.224206139117795e-05,9.222123332771073e-06,1.0,sds_L40,40.0,outer,38.959774129251116,0.0010000000000012221,16.134954007999823,0.21374313768609451,0.0412436706453141
0,18.0,35.0,25.800324544345457,25.800086664370923,25.80020560435819,0.00023787997453439402,0.0005000000000006111,0.0005537028826772487,0.11352789918912459,0.1135088326374166,0.1135183659132706,1.906655170799687e-05,-0.11350363104192938,0.02512024611254188,0.012523159279180709,0.0,sds_L80,80.0,r8M,8.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,45.18804805089734,45.19040801828685,45.1892280345921,0.0023599673895091655,0.0005000000000006111,0.002412352809923813,0.055564704679785554,0.055453584544002205,0.05550914461189388,0.00011112013578334912,-0.05098262691338477,0.005705418236641935,0.003971733060788281,1.0,sds_L80,80.0,r8M,8.0,0.0010000000000012221,19.389022430233908,0.4889882281630405,0.3171510456942875
2,53.0,69.0,62.619785121024485,62.62748216635793,62.62363364369121,0.007697045333443953,0.0005000000000006111,0.007713268235002069,0.009949461057433785,0.009974120784769686,0.009961790921101735,2.465972733590137e-05,0.007734896079896574,0.0001879457267331807,0.00014976982290550338,0.0,sds_L80,80.0,r8M,8.0,0.0010000000000012221,17.43440560909911,0.17946215872631613,0.03770893476808286
3,69.0,86.0,78.56809011113977,78.57148328162464,78.56978669638221,0.0033931704848697564,0.0005000000000006111,0.0034298113562398545,0.002113133949797995,0.0021059197508089714,0.0021095268503034835,7.214198989023788e-06,0.0019169544863155278,8.1487354184313e-06,6.297330896331563e-06,1.0,sds_L80,80.0,r8M,8.0,0.0010000000000012221,15.946153052691002,0.21176180739097245,0.0420467272656444
