category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,2,inf,3,6.3124683677023e-08,7.837321419727389e-08,3.0871092349116225e-09,1.1778053021771484e-07,2.7417896841797074e-09,1.9901069681083072e-10,0.0,2.1970009811411728e-08,7.994943418410118e-08
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,0,8.0,0,7.951042983804101e-10,9.741320490083013e-10,2.6982469591985137e-08,nan,1.1067826655164481e-09,7.754907827006718e-11,0.0,6.397969443128204e-08,nan
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,0,8.0,1,7.951042983804101e-10,9.741320490083013e-10,6.018680664965359e-09,2.0963788927019777e-08,1.712296970879379e-11,2.6731394875412207e-11,0.0,1.528553639218444e-08,7.567670379238223e-09
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,0,8.0,2,7.951042983804101e-10,9.741320490083013e-10,5.298574023981928e-09,7.201066409834311e-10,4.6528336739015685e-11,5.769829058976939e-13,0.0,9.962199953861273e-09,9.028084946294257e-10
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,0,8.0,3,7.951042983804101e-10,9.741320490083013e-10,1.2190639608888887e-09,4.079510063093039e-09,1.2296175189163705e-10,6.3197225230737786e-12,0.0,3.902115963683173e-09,1.1729228699408623e-09
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,1,12.0,0,7.951042983804101e-10,9.741320490083013e-10,2.4271695764355172e-08,nan,6.488538595306181e-10,2.2469825999849036e-10,0.0,4.770440042989321e-08,nan
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,1,12.0,1,7.951042983804101e-10,9.741320490083013e-10,9.924121968651889e-09,3.419581773300706e-08,2.381987940225372e-10,7.570388760314017e-12,0.0,2.0555440016778448e-08,2.9063196294032423e-11
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,1,12.0,2,7.951042983804101e-10,9.741320490083013e-10,2.4488286953783245e-09,7.475293273273564e-09,4.3200776289609166e-11,9.7524210929123e-12,0.0,3.0182647492438264e-09,2.9152880109961643e-10
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,1,12.0,3,7.951042983804101e-10,9.741320490083013e-10,3.0931772698750137e-09,6.443485744966893e-10,1.3060663661690342e-10,4.5884407384733095e-12,0.0,7.083087893988704e-09,2.7304092320434847e-10
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,2,inf,0,7.951042983804101e-10,9.741320490083013e-10,2.7393255663810123e-08,nan,7.034384186255238e-11,7.179279393199067e-11,nan,5.49317142883865e-08,nan
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,2,inf,1,7.951042983804101e-10,9.741320490083013e-10,2.6979094513990276e-08,5.43723501778004e-08,6.235012506294879e-10,1.8170576154830087e-11,0.0,4.7701611549655354e-08,1.1824845436159137e-08
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,2,inf,2,7.951042983804101e-10,9.741320490083013e-10,5.350159426598111e-09,3.232925394058839e-08,4.763933691975808e-11,3.1191715876843773e-12,0.0,1.2801919524463301e-09,4.9290176162841703e-08
angular_width_0.7,angular_w0p7_lmax31,angular_w0p7_lmax35,2,inf,3,7.951042983804101e-10,9.741320490083013e-10,4.283435828256188e-10,4.921815843772492e-09,1.2505685376140718e-10,7.006839553014288e-12,0.0,1.4652954405391938e-08,1.1777709918447954e-09
angular_width_0.5,angular_w0p5_lmax38,angular_w0p5_lmax46,0,8.0,0,5.999226888341282e-08,3.558777457005324e-08,7.15116996730103e-08,nan,3.294729911118566e-08,1.1898768526030779e-08,0.0,1.3846834079345172e-07,nan
angular_width_0.5,angular_w0p5_lmax38,angular_w0p5_lmax46,0,8.0,1,5.999226888341282e-08,3.558777457005324e-08,1.1096522456455205e-07,3.945352489154175e-08,1.8476664642719243e-10,4.690752231084616e-10,0.0,2.2258684850839927e-07,2.628154582851039e-09
