ell,observer,U_over_M,n_eff,positive_power
0,r/M=20,281.22741127757445,-2.876253870804173,2.876253870804173
0,r/M=20,283.2274112775726,-2.8769086139810276,2.8769086139810276
0,r/M=20,285.2274112775708,-2.877567350583796,2.877567350583796
0,r/M=20,287.227411277569,-2.8782335101325356,2.8782335101325356
0,r/M=20,289.22741127756717,-2.8789142071937857,2.8789142071937857
0,r/M=20,291.22741127756535,-2.8796127386749273,2.8796127386749273
0,r/M=20,293.22741127756353,-2.880319851215603,2.880319851215603
0,r/M=20,295.2274112775617,-2.8810123107693144,2.8810123107693144
0,r/M=20,297.2274112775599,-2.8816621744649846,2.8816621744649846
0,r/M=20,299.2274112775581,-2.882252135794698,2.882252135794698
0,r/M=20,301.22741127755626,-2.882787400635795,2.882787400635795
0,r/M=20,303.22741127755444,-2.883296157873682,2.883296157873682
0,r/M=20,305.2274112775526,-2.883817557536554,2.883817557536554
0,r/M=20,307.2274112775508,-2.8843835704666367,2.8843835704666367
0,r/M=20,309.227411277549,-2.8850045180013346,2.8850045180013346
0,r/M=20,311.22741127754716,-2.885665643562264,2.885665643562264
0,r/M=20,313.22741127754534,-2.8863356990259956,2.8863356990259956
0,r/M=20,315.2274112775435,-2.8869821179750748,2.8869821179750748
0,r/M=20,317.2274112775417,-2.8875845174005055,2.8875845174005055
0,r/M=20,319.2274112775399,-2.8881401896932073,2.8881401896932073
0,r/M=20,321.22741127753807,-2.8886603199334795,2.8886603199334795
0,r/M=20,323.22741127753625,-2.8891607317370114,2.8891607317370114
0,r/M=20,325.22741127753443,-2.889653252073619,2.889653252073619
0,r/M=20,327.2274112775326,-2.8901423881246666,2.8901423881246666
0,r/M=20,329.2274112775308,-2.8906281669187375,2.8906281669187375
0,r/M=20,331.227411277529,-2.8911121425367194,2.8911121425367194
0,r/M=20,333.22741127752715,-2.8916018887590407,2.8916018887590407
0,r/M=20,335.22741127752533,-2.8921105038242074,2.8921105038242074
0,r/M=20,337.2274112775235,-2.8926508321629822,2.8926508321629822
0,r/M=20,339.2274112775217,-2.8932273511148585,2.8932273511148585
0,r/M=20,341.2274112775199,-2.893830215672506,2.893830215672506
0,r/M=20,343.22741127751806,-2.894435080766771,2.894435080766771
0,r/M=20,345.22741127751624,-2.8950095969434044,2.8950095969434044
0,r/M=20,347.2274112775144,-2.8955243280171605,2.8955243280171605
0,r/M=20,349.2274112775126,-2.8959637686109203,2.8959637686109203
0,r/M=20,351.2274112775108,-2.8963330154276545,2.8963330154276545
0,r/M=20,353.22741127750896,-2.8966573969569414,2.8966573969569414
0,r/M=20,355.22741127750714,-2.896975130925359,2.896975130925359
0,r/M=20,357.2274112775053,-2.897325672547978,2.897325672547978
0,r/M=20,359.2274112775035,-2.8977378555228444,2.8977378555228444
0,r/M=20,361.2274112775017,-2.8982217821259875,2.8982217821259875
0,r/M=20,363.22741127749987,-2.8987668923376835,2.8987668923376835
0,r/M=20,365.22741127749805,-2.8993464049428526,2.8993464049428526
0,r/M=20,367.22741127749623,-2.8999262131003567,2.8999262131003567
0,r/M=20,369.2274112774944,-2.900475032980156,2.900475032980156
0,r/M=20,371.2274112774926,-2.9009724971530857,2.9009724971530857
0,r/M=20,373.2274112774908,-2.901412881754866,2.901412881754866
0,r/M=20,375.22741127748895,-2.901803828878156,2.901803828878156
0,r/M=20,377.22741127748714,-2.902161158668744,2.902161158668744
0,r/M=20,379.2274112774853,-2.9025020734865308,2.9025020734865308
0,r/M=20,381.2274112774835,-2.902839370991392,2.902839370991392
0,r/M=20,383.2274112774817,-2.9031786593446913,2.9031786593446913
0,r/M=20,385.22741127747986,-2.9035192804141317,2.9035192804141317
0,r/M=20,387.22741127747804,-2.9038581821384204,2.9038581821384204
0,r/M=20,389.2274112774762,-2.9041948642139954,2.9041948642139954
0,r/M=20,391.2274112774744,-2.904535136855503,2.904535136855503
0,r/M=20,393.2274112774726,-2.90489189743994,2.90489189743994
0,r/M=20,395.22741127747076,-2.905282261333438,2.905282261333438
0,r/M=20,397.22741127746895,-2.9057217706640124,2.9057217706640124
0,r/M=20,399.2274112774671,-2.9062175591920045,2.9062175591920045
0,r/M=20,401.2274112774653,-2.9067628754111157,2.9067628754111157
0,r/M=20,403.2274112774635,-2.9073350839858474,2.9073350839858474
0,r/M=20,405.22741127746167,-2.9078982722699114,2.9078982722699114
0,r/M=20,407.22741127745985,-2.908410205388125,2.908410205388125
0,r/M=20,409.22741127745803,-2.9088320350857924,2.9088320350857924
0,r/M=20,411.2274112774562,-2.9091382814101747,2.9091382814101747
0,r/M=20,413.2274112774544,-2.909324428347734,2.909324428347734
0,r/M=20,415.2274112774526,-2.909410041285156,2.909410041285156
0,r/M=20,417.22741127745076,-2.909436445022252,2.909436445022252
0,r/M=20,419.22741127744894,-2.909459365762328,2.909459365762328
0,r/M=20,421.2274112774471,-2.909538165330295,2.909538165330295
0,r/M=20,423.2274112774453,-2.9097240719952135,2.9097240719952135
0,r/M=20,425.2274112774435,-2.910049974349171,2.910049974349171
0,r/M=20,427.22741127744166,-2.9105238993660207,2.9105238993660207
0,r/M=20,429.22741127743984,-2.911127400069482,2.911127400069482
0,r/M=20,431.227411277438,-2.911818981103668,2.911818981103668
0,r/M=20,433.2274112774362,-2.912541659162808,2.912541659162808
0,r/M=20,435.2274112774344,-2.9132330083791342,2.9132330083791342
0,r/M=20,437.22741127743257,-2.913835703661449,2.913835703661449
0,r/M=20,439.22741127743075,-2.9143066648567095,2.9143066648567095
0,r/M=20,441.2274112774289,-2.914623344042699,2.914623344042699
0,r/M=20,443.2274112774271,-2.914786349111296,2.914786349111296
0,r/M=20,445.2274112774253,-2.91481830212585,2.91481830212585
0,r/M=20,447.22741127742347,-2.9147594527800806,2.9147594527800806
0,r/M=20,449.22741127742165,-2.914661011658744,2.914661011658744
0,r/M=20,451.22741127741983,-2.914577393916329,2.914577393916329
0,r/M=20,453.227411277418,-2.914558577839071,2.914558577839071
0,r/M=20,455.2274112774162,-2.9146436239659104,2.9146436239659104
0,r/M=20,457.2274112774144,-2.9148561246223577,2.9148561246223577
0,r/M=20,459.22741127741256,-2.9152020182334284,2.9152020182334284
0,r/M=20,461.22741127741074,-2.9156698575658804,2.9156698575658804
0,r/M=20,463.2274112774089,-2.9162333051403833,2.9162333051403833
0,r/M=20,465.2274112774071,-2.916855370792073,2.916855370792073
0,r/M=20,467.2274112774053,-2.9174937253759587,2.9174937253759587
0,r/M=20,469.22741127740346,-2.9181063335462265,2.9181063335462265
0,r/M=20,471.22741127740164,-2.9186566530893776,2.9186566530893776
0,r/M=20,473.2274112773998,-2.9191177461900963,2.9191177461900963
0,r/M=20,475.227411277398,-2.91947482728644,2.91947482728644
0,r/M=20,477.2274112773962,-2.9197260103448612,2.9197260103448612
0,r/M=20,479.22741127739437,-2.9198812835019154,2.9198812835019154
0,r/M=20,481.22741127739255,-2.9199599932426183,2.9199599932426183
0,r/M=20,483.22741127739073,-2.919987325193969,2.919987325193969
0,r/M=20,485.2274112773889,-2.9199903920864094,2.9199903920864094
0,r/M=20,487.2274112773871,-2.9199945616555887,2.9199945616555887
0,r/M=20,489.2274112773853,-2.920020575054646,2.920020575054646
0,r/M=20,491.22741127738345,-2.9200828348116867,2.9200828348116867
0,r/M=20,493.22741127738163,-2.9201890115418134,2.9201890115418134
0,r/M=20,495.2274112773798,-2.9203408722318542,2.9203408722318542
0,r/M=20,497.227411277378,-2.9205360147986243,2.9205360147986243
0,r/M=20,499.2274112773762,-2.920770043194546,2.920770043194546
0,r/M=20,501.22741127737436,-2.9210386609677483,2.9210386609677483
0,r/M=20,503.22741127737254,-2.9213392073920414,2.9213392073920414
0,r/M=20,505.2274112773707,-2.921671298150436,2.921671298150436
0,r/M=20,507.2274112773689,-2.922036434121403,2.922036434121403
0,r/M=20,509.2274112773671,-2.922436667895729,2.922436667895729
0,r/M=20,511.22741127736526,-2.9228726252941573,2.9228726252941573
0,r/M=20,513.2274112773634,-2.923341329559773,2.923341329559773
0,r/M=20,515.2274112773616,-2.923834341488217,2.923834341488217
0,r/M=20,517.2274112773598,-2.9243366972735094,2.9243366972735094
0,r/M=20,519.227411277358,-2.9248270022814986,2.9248270022814986
0,r/M=20,521.2274112773562,-2.9252788442827065,2.9252788442827065
0,r/M=20,523.2274112773543,-2.9256634568650486,2.9256634568650486
0,r/M=20,525.2274112773525,-2.9259533323969498,2.9259533323969498
0,r/M=20,527.2274112773507,-2.926126293491407,2.926126293491407
0,r/M=20,529.2274112773489,-2.9261694153771782,2.9261694153771782
0,r/M=20,531.2274112773471,-2.9260821697099186,2.9260821697099186
0,r/M=20,533.2274112773453,-2.925878238576357,2.925878238576357
0,r/M=20,535.2274112773434,-2.925585614851661,2.925585614851661
0,r/M=20,537.2274112773416,-2.9252448364917707,2.9252448364917707
0,r/M=20,539.2274112773398,-2.9249054627609667,2.9249054627609667
0,r/M=20,541.227411277338,-2.924621150911086,2.924621150911086
0,r/M=20,543.2274112773362,-2.9244438958121686,2.9244438958121686
0,r/M=20,545.2274112773343,-2.9244181237838105,2.9244181237838105
0,r/M=20,547.2274112773325,-2.92457536832627,2.92457536832627
