pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,target_angle_over_pi,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio,flux_energy_ratio
2,60.0,77.0,69.65332424854651,69.65332424746637,69.65332424800644,1.080138645193074e-09,0.05000000000023874,0.050000000000238756,0.16150078662951378,0.1615007866396048,0.1615007866345593,1.0091011359847357e-11,0.15902522800372812,0.09917519541985945,0.020154469437109322,0.5,schwarzschild,0.5,0.19245008972987526,7.059905979573468,2.5,69.91172750609154,-0.2584032580850959,0.22323574447335814,0.04105990544446474
3,76.0,96.0,85.29268611750653,85.29268612045217,85.29268611897936,2.9456401762217865e-09,0.05000000000023874,0.050000000000238826,0.02921894788657705,0.029218947887893084,0.029218947887235065,1.3160340872619969e-12,0.012612585262848952,0.0038959732511386785,0.0007647125189501207,0.5,schwarzschild,0.5,0.19245008972987526,10.069702574960196,3.5,86.24722943255836,-0.9545433135789949,0.18092139670719443,0.037942577517922516
0,22.0,43.0,34.38029843598701,34.225079342368325,34.30268888917767,0.15521909361868325,0.04999999999997229,0.1630735019057443,4.003038696193845,4.117031107494914,4.0600349018443795,0.1139924113010693,-3.999514210748069,71.8762090635642,6.280053440405398,0.5,sds_L20,0.5,0.18584142981864143,0.0,0.5,34.361266972403115,-0.05857808322544855,nan,nan
1,44.0,61.0,52.86703544946124,54.339030730578216,53.60303309001973,1.4719952811169748,0.04999999999997229,1.4728442238168429,0.8727110846108509,0.7132353106001316,0.7929731976054912,0.15947577401071933,-0.8615376238503173,3.2756767965699316,0.36104139815477737,0.5,sds_L20,0.5,0.18584142981864143,3.586803562276413,1.5,55.20487577612555,-1.6018426861058188,0.1953119164678269,0.05749017927647937
2,60.0,77.0,67.91108888741151,70.00279358932383,68.95694123836768,2.0917047019123203,0.04999999999997229,2.092302215264828,0.14209594936869271,0.14278661630720954,0.14244128283795113,0.0006906669385168263,-0.11730135100683013,0.11451401761102156,0.02643312524624596,0.5,sds_L20,0.5,0.18584142981864143,6.440195805869485,2.5,72.33259549633163,-3.3756542579639586,0.1796293787331971,0.07321355772867398
3,76.0,96.0,86.9873046941855,87.30342470759105,87.14536470088828,0.31612001340555196,0.04999999999997229,0.32004978187076394,0.028596541602160967,0.026084687780248222,0.027340614691204593,0.002511853821912744,0.028290862122920937,0.0036342149000982986,0.0014878586678744434,0.5,sds_L20,0.5,0.18584142981864143,9.82035842829124,3.5,89.24679410350879,-2.1014294026205107,0.19194305293015892,0.056287656265153495
0,22.0,43.0,33.61467420476103,33.51327313106353,33.56397366791228,0.1014010736975024,0.050000000000000044,0.1130582935790485,4.061601766340266,4.101978335309737,4.081790050825002,0.04037656896947084,-4.060153742557014,73.05559644978334,6.2880607058348605,0.5,sds_L40,0.5,0.1908193832843955,0.0,0.5,33.61041620402265,-0.046442536110369304,nan,nan
1,44.0,61.0,51.76978476645965,51.83739304851424,51.80358890748694,0.0676082820545858,0.050000000000000044,0.08408852360680637,0.7680994068044819,0.6727059701140952,0.7204026884592885,0.09539343669038669,-0.7285990431673518,2.3888467152301205,0.42199924328504085,0.5,sds_L40,0.5,0.1908193832843955,3.4804721313602984,1.5,53.956760598160734,-2.153171690673794,0.17649185271390486,0.06711119103755732
2,60.0,77.0,70.16159204257039,70.1285235062744,70.1450577744224,0.033068536295985496,0.050000000000000044,0.05994604317850274,0.14108087468667158,0.15377333332223614,0.14742710400445386,0.012692458635564563,0.13117187838916966,0.08417971384712458,0.020635126953657754,0.5,sds_L40,0.5,0.1908193832843955,6.980379909078862,2.5,70.6591608948599,-0.5141031204374968,0.20464541063797723,0.048898492786442475
3,76.0,96.0,85.36762029862035,85.93153420579527,85.64957725220782,0.5639139071749213,0.050000000000000044,0.5661262179985005,0.029650190360113873,0.027580557350105225,0.02861537385510955,0.002069633010008648,0.024319619580705505,0.0037374453692810682,0.0006916929416833736,0.5,sds_L40,0.5,0.1908193832843955,9.938942753950775,3.5,87.13300301964787,-1.4834257674400533,0.19409846003788464,0.033520168944769446
0,22.0,43.0,33.28427055709496,33.22578438160885,33.2550274693519,0.058486175486116565,0.05000000000006111,0.0769456478496278,4.068932152382694,4.084561982670291,4.076747067526492,0.01562983028759657,-4.067821240828745,72.94442711742411,6.283551710521655,0.5,sds_L80,0.5,0.19204371126656825,0.0,0.5,33.28897294624613,-0.033945476894231774,nan,nan
1,44.0,61.0,51.55854299164805,51.64770706587498,51.60312502876152,0.08916407422692885,0.05000000000006111,0.10222637689339961,0.7358311906388,0.696409574211556,0.7161203824251781,0.039421616427243955,-0.6613660767751074,2.245656912163271,0.45456327301014743,0.5,sds_L80,0.5,0.19204371126656825,3.523636749990086,1.5,53.57155370584627,-1.968428677084752,0.17565975287735322,0.0723417732441021
2,60.0,77.0,69.87996812463504,69.87646099509158,69.87821455986331,0.003507129543464771,0.05000000000006111,0.05012284865847864,0.15333107576337224,0.15732030912694606,0.15532569244515915,0.003989233363573819,0.14936235974027662,0.0916789483405292,0.01986196627887036,0.5,sds_L80,0.5,0.19204371126656825,7.033252767271683,2.5,70.18142656443705,-0.3032120045737372,0.21689885703174766,0.04369461295749463
3,76.0,96.0,85.16335998795165,85.4993706757593,85.33136533185547,0.33601068780764365,0.05000000000006111,0.3397104389343546,0.029112617297640506,0.028330838271105555,0.02872172778437303,0.0007817790265349511,0.018989992461533198,0.003759608579465755,0.0007179698964343967,0.5,sds_L80,0.5,0.19204371126656825,10.00093319228689,3.5,86.55081664374627,-1.2194513118908077,0.18491292285411065,0.036147976809234164
0,22.0,43.0,33.12551842123043,33.09294815524772,33.109233288239075,0.032570265982712954,0.05000000000023874,0.059672625434185,4.069977401634237,4.075868174153145,4.072922787893691,0.005890772518908349,-4.069049164686231,72.82610697375694,6.2815968954698524,0.5,sds_L160,0.5,0.19234857560438817,0.0,0.5,33.13527111749915,-0.02603782926007625,nan,nan
1,44.0,61.0,51.55324972374869,51.5867922799996,51.570021001874146,0.033542556250907296,0.05000000000023874,0.06020882891959579,0.7226145170998234,0.7097549911371511,0.7161847541184873,0.012859525962672258,-0.6176566314195419,2.21728121701432,0.4721934964481319,0.5,sds_L160,0.5,0.19234857560438817,3.5509062212526956,1.5,53.42988802068942,-1.8598670188152724,0.17584049377200733,0.07517093253606695
2,60.0,77.0,69.76193088941874,69.76359760124124,69.76276424532999,0.0016667118225086597,0.05000000000023874,0.05002777157063029,0.15841771342553718,0.1592617038045351,0.15883970861503616,0.0008439903789979331,0.15567818507232395,0.09593068151581303,0.019718859581547843,0.5,sds_L160,0.5,0.19234857560438817,7.0502544704677845,2.5,70.02137270203195,-0.258608456701964,0.22178593959395757,0.04176012530853199
3,76.0,96.0,85.2342043886214,85.36961598117387,85.30191018489762,0.13541159255247237,0.05000000000023874,0.14434784167981407,0.02901272950888316,0.02876599259564647,0.028889361052264813,0.00024673691323668853,0.015273628252310977,0.0038043953112455345,0.0007404362807795438,0.5,sds_L160,0.5,0.19234857560438817,10.039187058052331,3.5,86.36514258493172,-1.0632324000340958,0.181877449311375,0.037549650258294646
