target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
0.0,0,nan,0.0,26.61370563888011,0.19245008972987526,schwarzschild,outer,0,26.888149222796315,0.050000000000238895,0.2744435839162058
1.0,1,5.030894624269974,6.481602785807201,44.09284445615808,0.19245008972987526,schwarzschild,outer,1,42.93015507620393,0.05000000000024062,-1.162689379954152
2.0,2,3.2886279146315727,5.253616180212156,61.70430515702763,0.19245008972987526,schwarzschild,outer,2,62.642467229560864,0.05000000000024051,0.9381620725332311
3.0,3,3.0545059243420987,5.1986065027833686,78.08318904581043,0.19245008972987526,schwarzschild,outer,3,76.92882525088645,0.05000000000024037,-1.154363794923981
0.0,0,nan,0.0,26.219519353005452,0.18584142981864143,sds_L20,outer,0,26.572484941582687,0.2298209157082682,0.35296558857723426
1.0,1,4.649228005185082,6.473623499923559,45.86363255068249,0.18584142981864143,sds_L20,outer,1,44.784935050221726,0.06743199860312578,-1.0786975004607626
2.0,2,3.246857107214605,5.429067690935019,63.84222860775924,0.18584142981864143,sds_L20,outer,2,62.33408396355367,2.638717446139414,-1.5081446442055721
3.0,3,3.047279420780557,5.3829947393448405,80.79281275924936,0.18584142981864143,sds_L20,outer,3,79.61599066357743,0.29350796010469626,-1.1768220956719233
0.0,0,nan,0.0,26.523268195226244,0.1908193832843955,sds_L40,outer,0,26.854690888709584,0.14061023004052436,0.33142269348333997
1.0,1,4.8371386441912305,6.396246219327274,44.775451260725376,0.1908193832843955,sds_L40,outer,1,43.5640311429989,0.13396440945154592,-1.211420117726476
2.0,2,3.2676157787071305,5.29200910194573,62.38669649041771,0.1908193832843955,sds_L40,outer,2,62.93502498183608,0.3485748384692552,0.548328491418367
3.0,3,3.0508979070796176,5.2427597792119975,78.89941038705528,0.1908193832843955,sds_L40,outer,3,77.72062652179451,0.10265853881753326,-1.178783865260769
0.0,0,nan,0.0,26.59155084183453,0.19204371126656825,sds_L80,outer,0,26.89395239376756,0.09292595807879038,0.30240155193303053
1.0,1,4.93315108702348,6.418190196016658,44.39271790416549,0.19204371126656825,sds_L80,outer,1,43.20288601006418,0.07926462318455071,-1.1898318941013102
2.0,2,3.2780607744716415,5.261225324743458,61.95938484406733,0.19204371126656825,sds_L80,outer,2,62.79928572693494,0.06326379589552822,0.8399008828676102
3.0,3,3.0526983460583397,5.209460006546556,78.36961699971329,0.19204371126656825,sds_L80,outer,3,77.1889547407546,0.08064615466228726,-1.1806622589586908
0.0,0,nan,0.0,26.60819462318042,0.19234857560438817,sds_L160,outer,0,26.897055774520545,0.0646423403362492,0.28886115134012513
1.0,1,4.981792602395306,6.44453744125927,44.23323338115798,0.19234857560438817,sds_L160,outer,1,43.05911212297858,0.058207941747460815,-1.1741212581793974
2.0,2,3.283325406188262,5.254562582365612,61.811049172266536,0.19234857560438817,sds_L160,outer,2,62.72092549300177,0.05007336273556291,0.9098763207352363
3.0,3,3.0536006523155916,5.201273573345756,78.19685412237695,0.19234857560438817,sds_L160,outer,3,77.03212665057151,0.05815404831256416,-1.1647274718054348
