target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
1.0,1,4.93315108702348,6.418190196016658,44.39271790416549,0.19204371126656825,sds_L80,outer,1,44.05914821640869,0.0008064131199882825,-0.33356968775679974
2.0,2,3.2780607744716415,5.261225324743458,61.95938484406733,0.19204371126656825,sds_L80,outer,2,62.010982667941654,0.02782664161334833,0.05159782387432443
3.0,3,3.0526983460583397,5.209460006546556,78.36961699971329,0.19204371126656825,sds_L80,outer,3,78.03020977800259,0.004209772147643038,-0.3394072217107009
0.0,0,nan,0.0,25.507214258953432,0.19234857560438817,sds_L160,r8M,0,25.768648183776715,0.0005690192467311657,0.2614339248232831
1.0,1,4.216574797159115,5.819498954197111,45.444272188675775,0.19234857560438817,sds_L160,r8M,1,45.10709973980235,0.0011562610064763498,-0.33717244887342446
2.0,2,3.19637735199383,5.227386791515398,62.39463237864239,0.19234857560438817,sds_L160,r8M,2,62.514702374669525,0.002699361650433693,0.12006999602713364
3.0,3,3.0382585219367106,5.200122642471762,78.75467356785164,0.19234857560438817,sds_L160,r8M,3,78.43451017692907,0.0011549540884580468,-0.3201633909225734
0.0,0,nan,0.0,25.929003367187008,0.19234857560438817,sds_L160,r12M,0,26.072158338250933,0.0005001087320515487,0.14315497106392527
1.0,1,4.4565417580639055,6.00676624819083,45.07324988501309,0.19234857560438817,sds_L160,r12M,1,44.74373343028549,0.0012342571248974993,-0.32951645472760305
2.0,2,3.2249342401559176,5.235489423251984,62.20781646682088,0.19234857560438817,sds_L160,r12M,2,62.32202404752037,0.004073568732750139,0.11420758069949244
3.0,3,3.0434002535141174,5.200467919966906,78.575561383064,0.19234857560438817,sds_L160,r12M,3,78.2575041700702,0.0029551696034932386,-0.31805721299379286
0.0,0,nan,0.0,26.60819462318042,0.19234857560438817,sds_L160,outer,0,26.679354090741764,0.007322566723999936,0.07115946756134406
1.0,1,4.981792602395306,6.44453744125927,44.23323338115798,0.19234857560438817,sds_L160,outer,1,43.909704158268404,0.0005754763394473381,-0.32352922288957586
2.0,2,3.283325406188262,5.254562582365612,61.811049172266536,0.19234857560438817,sds_L160,outer,2,61.888109114518855,0.012215035526517327,0.07705994225231905
3.0,3,3.0536006523155916,5.201273573345756,78.19685412237695,0.19234857560438817,sds_L160,outer,3,77.86881309367773,0.0016763082234533596,-0.3280410286992179
