pulse,window_start,window_end,analytic_time,matched_time,matched_time_resolved,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
3,77.0,98.0,89.37797563584678,89.47662144308148,True,89.37797563584678,0.0986458072347034,0.0005000000000006111,0.09864707438635097,0.0001892911627491401,0.0001855299841511669,0.0001892911627491401,3.7611785979732094e-06,9.255647484478666e-05,8.051339941985124e-08,3.940601833478568e-08,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,11.322903182354223,89.87713911368192,-0.4991634778351397,0.12051992653288351
0,20.0,42.0,29.876956085868745,29.858072925915813,True,29.876956085868745,0.01888315995293155,0.0005000000000006111,0.01888977844782724,0.028691506025928067,0.02873013730247334,0.028691506025928067,3.863127654527357e-05,-0.028682779396819017,0.0017374103442157327,0.0006579705033834753,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,0.0,29.8698274785805,0.007128607288244382,
1,44.0,62.0,55.626620824829146,55.66672496563279,True,55.626620824829146,0.040104140803642,0.0005000000000006111,0.040107257567656554,0.004937425378052731,0.004847169837229517,0.004937425378052731,9.025554082321436e-05,-0.0036165978366509274,5.738596200207641e-05,2.4915278095174e-05,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,4.945061180339844,56.40578585232748,-0.7791650274983368,0.1720866577582528
2,61.0,77.0,67.43894036914821,67.42908616694484,True,67.43894036914821,0.009854202203371187,0.0005000000000006111,0.009866878993122708,0.001634502028603312,0.001640433694865433,0.001634502028603312,5.93166626212103e-06,0.0016343195386644242,5.204557812774134e-06,2.808558726374823e-06,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,7.213542864297497,67.44729124708061,-0.008350877932400635,0.3310433886998698
3,77.0,98.0,88.87782118330034,88.91311670988387,True,88.87782118330034,0.03529552658352486,0.0005000000000006111,0.03529906793115522,0.00019179978490213966,0.00019026567029745977,0.00019179978490213966,1.5341146046798882e-06,7.239720563900674e-05,8.193133667859688e-08,4.2103789877619075e-08,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,11.330745101248898,89.277468668746,-0.3996474854456551,0.11734447651070418
0,20.0,42.0,29.793771305220773,29.784080026046272,True,29.793771305220773,0.009691279174500522,0.0005000000000006111,0.009704168796868083,0.028184623139004564,0.028196280181673777,0.028184623139004564,1.1657042669213635e-05,-0.028182245516393686,0.0016656455548203482,0.0006421052503871388,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,0.0,29.780147138375423,0.01362416684535006,
1,44.0,62.0,55.516060791941705,55.53372886726162,True,55.516060791941705,0.017668075319917875,0.0005000000000006111,0.01767514881154588,0.00496243637834673,0.004923108083916955,0.00496243637834673,3.9328294429774764e-05,-0.003490819882194494,5.755663894676888e-05,2.5823350663840874e-05,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,4.9476457440545,56.2630894095029,-0.7470286175611989,0.1760689278644013
2,61.0,77.0,67.29168195899588,67.28740971425574,True,67.29168195899588,0.004272244740135989,0.0005000000000006111,0.004301403854513109,0.0016636209258071325,0.001665294326780218,0.0016636209258071325,1.6734009730854597e-06,0.0016627380155348939,5.391602685102467e-06,2.89341163825395e-06,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,7.212669702394254,67.29133598253372,0.0003459764621567274,0.33524277168897015
3,77.0,98.0,88.72056164004222,88.73959908343257,True,88.72056164004222,0.019037443390345743,0.0005000000000006111,0.019044008266135032,0.00019369495879478278,0.00019301975132094128,0.00019369495879478278,6.752074738414953e-07,6.540515694224116e-05,8.337810069360702e-08,4.359620938519528e-08,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,11.334484185841333,89.08747893176111,-0.36691729171889165,0.11642974417432778
0,22.0,43.0,32.98012486268306,32.98012486259723,True,32.98012486268306,8.58335624798201e-11,0.0005000000000006111,0.0005000000000006184,0.02588013084300737,0.02588013084302614,0.02588013084300737,1.8769708010069053e-14,-0.025879996760060916,0.001474984313760552,0.0005048036223897531,0.5,schwarzschild,0.5,0.19245008972987526,0.0,32.98424120432105,-0.004116341637988796,
