phase_radians,phase_over_half_pi,raw_phase_radians,matched_lag_over_M,lag_at_boundary,phase_resolved,coherence,case,gamma_over_pi,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio
-1.6580705633815294,-1.0555605046293366,-1.6580705633815294,0.44438016009133646,False,True,0.9999924062757312,sds_L160,0.3333333333333333,2->3,0.11642974417432778,0.20787957635076193
-1.549781226242347,-0.986621371469954,-1.549781226242347,0.2653707308111347,False,True,0.9989275349146822,schwarzschild,0.5,0->1,0.22164051751972816,0.20787957635076193
-1.5815485210309084,-1.0068450594469818,-1.5815485210309084,-0.1969894331325072,False,True,0.9999285032294292,schwarzschild,0.5,1->2,0.21412526813657193,0.20787957635076193
-1.6251086380050463,-1.0345762911993628,-1.6251086380050463,0.06395953290039556,False,True,0.9999918513032466,schwarzschild,0.5,2->3,0.18960632966770596,0.20787957635076193
-1.4514061447159938,-0.9239938494620048,-1.4514061447159938,0.9641289162912966,False,True,0.9998671145331639,sds_L12,0.5,0->1,0.21451940959443655,0.20787957635076193
nan,nan,1.3413926956490418,-1.9949999082431549,True,False,0.9994976194288376,sds_L12,0.5,1->2,0.18552654904362215,0.20787957635076193
1.0239192896229283,0.6518472650825242,1.0239192896229283,1.5049999871435198,False,True,0.9998252428114227,sds_L12,0.5,2->3,0.6102341395679954,0.20787957635076193
-1.5241677729081338,-0.9703153406387796,-1.5241677729081338,0.7231038663988042,False,True,0.9996504149438892,sds_L20,0.5,0->1,0.2089162133321596,0.20787957635076193
-1.5681705262822412,-0.9983283634753507,-1.5681705262822412,-0.45929297544842074,False,True,0.999998684040753,sds_L20,0.5,1->2,0.18775299907467263,0.20787957635076193
-1.5473998691153785,-0.9851053524378575,-1.5473998691153785,0.3302389252814704,False,True,0.9999999415706391,sds_L20,0.5,2->3,0.21751383350574285,0.20787957635076193
-1.5492410762051219,-0.9862775012762115,-1.5492410762051219,0.476502601636359,False,True,0.9992933578255823,sds_L40,0.5,0->1,0.20969912850483372,0.20787957635076193
-1.5767938190115096,-1.0038181221297164,-1.5767938190115096,-0.3728397265897953,False,True,0.9999934918820148,sds_L40,0.5,1->2,0.2099657525956585,0.20787957635076193
-1.5936167999518775,-1.0145279644265177,-1.5936167999518775,0.23515628327579594,False,True,0.9999999213890726,sds_L40,0.5,2->3,0.19425626254482184,0.20787957635076193
-1.5507504832730086,-0.9872384196601796,-1.5507504832730086,0.3599840470201014,False,True,0.9990262005564827,sds_L80,0.5,0->1,0.21453847690266775,0.20787957635076193
-1.581992923953379,-1.0071279751343245,-1.581992923953379,-0.2799999718923468,False,True,0.9999672487579786,sds_L80,0.5,1->2,0.21316908011711636,0.20787957635076193
-1.612553988414823,-1.02658375303508,-1.612553988414823,0.14150330048355153,False,True,0.9999998463858546,sds_L80,0.5,2->3,0.1909379875639008,0.20787957635076193
-1.5547918957354068,-0.989811262742035,-1.5547918957354068,0.3150000353414461,False,True,0.9989344481433676,sds_L160,0.5,0->1,0.2178237344329058,0.20787957635076193
-1.580870047014149,-1.0064131294728753,-1.580870047014149,-0.2377918735857559,False,True,0.9998905238630349,sds_L160,0.5,1->2,0.21388513046554516,0.20787957635076193
-1.619666989846932,-1.0311120303876395,-1.619666989846932,0.0964516821233048,False,True,0.9999994829219795,sds_L160,0.5,2->3,0.1900932226427254,0.20787957635076193
