x,numerical_u,analytic_u
3.239767424014474262e+00,-2.902838145617340770e-01,-2.902838102442997781e-01
3.288854809226814613e+00,-4.275538227856404139e-01,-4.275538164265670904e-01
3.337942194439155408e+00,-5.555685819286675375e-01,-5.555685736656102991e-01
3.387029579651495759e+00,-6.715569590509199438e-01,-6.715569490627495419e-01
3.436116964863836110e+00,-7.730081560644310734e-01,-7.730081445673659957e-01
3.485204350076176905e+00,-8.577260609293360094e-01,-8.577260481722450702e-01
3.534291735288517255e+00,-9.238767868474038192e-01,-9.238767731064441158e-01
3.583379120500857606e+00,-9.700283703730488982e-01,-9.700283559456676086e-01
3.632466505713198401e+00,-9.951817690974661401e-01,-9.951817542959756624e-01
3.681553890925538752e+00,-9.987924878997685996e-01,-9.987924730445748578e-01
3.730641276137879103e+00,-9.807823656220003850e-01,-9.807823510346748153e-01
3.779728661350219898e+00,-9.415412670221783298e-01,-9.415412530184892326e-01
3.828816046562560249e+00,-8.819186433796269986e-01,-8.819186302627176621e-01
3.877903431774901044e+00,-8.032051444400944984e-01,-8.032051324939002424e-01
3.926990816987241395e+00,-7.071046797463917954e-01,-7.071046692295158698e-01
3.976078202199581746e+00,-5.956975341425067016e-01,-5.956975252826040013e-01
4.025165587411922097e+00,-4.713953358890296541e-01,-4.713953288778934825e-01
4.074252972624263336e+00,-3.368888521942607905e-01,-3.368888471836607446e-01
4.123340357836603687e+00,-1.950897422300926498e-01,-1.950897393284937165e-01
4.172427743048944038e+00,-4.906752850392590015e-02,-4.906752777413581762e-02
4.221515128261284389e+00,9.801684903387195003e-02,9.801684757605444442e-02
4.270602513473624740e+00,2.429794577940685152e-01,2.429794541801987007e-01
4.319689898685965090e+00,3.826822950738702489e-01,3.826822893821782978e-01
4.368777283898306329e+00,5.141012163388996026e-01,5.141012086925939029e-01
4.417864669110646680e+00,6.343913988196512310e-01,6.343913893842526575e-01
4.466952054322987031e+00,7.409489233332957614e-01,7.409489123130502675e-01
4.516039439535327382e+00,8.314671412703342757e-01,8.314671289037969260e-01
4.565126824747667733e+00,9.039866065710683296e-01,9.039865931259370990e-01
4.614214209960008972e+00,9.569374918154134324e-01,9.569374775827390600e-01
4.663301595172349323e+00,9.891735702457786772e-01,9.891735555336508279e-01
4.712388980384689674e+00,9.999970281148279350e-01,9.999970132417212998e-01
4.761476365597030025e+00,9.891735702457823409e-01,9.891735555336509389e-01
4.810563750809370376e+00,9.569374918154164300e-01,9.569374775827392821e-01
4.859651136021711615e+00,9.039866065710684406e-01,9.039865931259375431e-01
4.908738521234051966e+00,8.314671412703341646e-01,8.314671289037975921e-01
4.957825906446392317e+00,7.409489233332997582e-01,7.409489123130510446e-01
5.006913291658732668e+00,6.343913988196525633e-01,6.343913893842535456e-01
5.056000676871073019e+00,5.141012163389012679e-01,5.141012086925949021e-01
5.105088062083414258e+00,3.826822950738724138e-01,3.826822893821793525e-01
5.154175447295754608e+00,2.429794577940709854e-01,2.429794541801997831e-01
5.203262832508094959e+00,9.801684903387659908e-02,9.801684757605554077e-02
5.252350217720435310e+00,-4.906752850392343684e-02,-4.906752777413472127e-02
5.301437602932775661e+00,-1.950897422300917894e-01,-1.950897393284926340e-01
5.350524988145116012e+00,-3.368888521942572378e-01,-3.368888471836580245e-01
5.399612373357457251e+00,-4.713953358890261569e-01,-4.713953288778924833e-01
