cosmological_length_over_M,observer,category,setting,D1_over_M,difference_from_primary_over_M,classification
320,r12M,cadence,analysis_cadence_0.002M,0.0039053019776815745,4.4709363322681384e-08,
320,outer,window,primary,0.06736803550965931,0.0,
320,outer,window,inset_0p5M,0.06731494631263146,5.308919702784465e-05,
320,outer,window,expanded_0p5M,0.06741855130358942,5.051579393011707e-05,
320,outer,window,shift_left_0p5M,0.06761344789338608,0.000245412383726773,
320,outer,window,shift_right_0p5M,0.06720837610539832,0.00015965940426099223,
320,outer,estimator,matched_template_vs_analytic_envelope,0.06736803550965931,0.004032913792038073,
320,outer,cadence,analysis_cadence_0.0005M,0.06736673009503491,1.3054146243973719e-06,
320,outer,cadence,analysis_cadence_0.002M,0.06736582670045621,2.208809203096962e-06,
640,r8M,window,primary,0.0010127530096113446,0.0,
640,r8M,window,inset_0p5M,0.0010016301590631826,1.1122850548161978e-05,
640,r8M,window,expanded_0p5M,0.0010195032855762065,6.750275964861885e-06,
640,r8M,window,shift_left_0p5M,0.0009990682273866014,1.368478222474323e-05,
640,r8M,window,shift_right_0p5M,0.0010211265576529627,8.37354804161805e-06,
640,r8M,estimator,matched_template_vs_analytic_envelope,0.0010127530096113446,0.00040859185957842215,
640,r8M,cadence,analysis_cadence_0.0005M,0.0010127439653331294,9.04427821524223e-09,
640,r8M,cadence,analysis_cadence_0.002M,0.0010126698118781974,8.319773314724443e-08,
640,r12M,window,primary,0.0009620331004001059,0.0,
640,r12M,window,inset_0p5M,0.0009538630557450745,8.170044655031461e-06,
640,r12M,window,expanded_0p5M,0.0009672010477927984,5.16794739269244e-06,
640,r12M,window,shift_left_0p5M,0.0009524340402791154,9.599060120990544e-06,
640,r12M,window,shift_right_0p5M,0.000968384270905176,6.3511705050700584e-06,
640,r12M,estimator,matched_template_vs_analytic_envelope,0.0009620331004001059,0.0003447411946275736,
640,r12M,cadence,analysis_cadence_0.0005M,0.0009620257199784987,7.380421607194876e-09,
640,r12M,cadence,analysis_cadence_0.002M,0.0009619520082360111,8.109216409479814e-08,
640,outer,window,primary,0.03280626554162325,0.0,
640,outer,window,inset_0p5M,0.032779800181646834,2.6465359976413083e-05,
640,outer,window,expanded_0p5M,0.032834016549063705,2.7751007440457442e-05,
640,outer,window,shift_left_0p5M,0.032932813175950315,0.00012654763432706773,
640,outer,window,shift_right_0p5M,0.03272554742455114,8.071811707210941e-05,
640,outer,estimator,matched_template_vs_analytic_envelope,0.03280626554162325,0.0021079697420063326,
640,outer,cadence,analysis_cadence_0.0005M,0.032805507341524986,7.582000982608861e-07,
640,outer,cadence,analysis_cadence_0.002M,0.03280470345541886,1.5620862043874695e-06,
