U_over_M,schwarzschild,sds_L20,sds_L40,sds_L80,sds_L160,sds_L320,sds_L640,Winf_from_L80,Winf_from_L160
0.8874112777601519,-0.149245763048809,-0.13539664184199776,-0.14336118467970993,-0.14663118476507148,-0.14802242061018994,-0.14865586352627755,-0.14895297679064762,-0.14924785643805075,-0.14923701792590185
0.9174112777601513,-0.15704339034493528,-0.14352519986893142,-0.1514743243009072,-0.1546227839099572,-0.15592529185408047,-0.15650821792834355,-0.15677793962018222,-0.1570455920707409,-0.15703316708182566
0.9474112777601507,-0.16478260770001085,-0.15164749461613541,-0.1595542188047654,-0.16256812201590634,-0.16377570322383497,-0.16430510187803368,-0.16454595573802105,-0.16478490589905528,-0.1647709126199338
0.97741127776015,-0.17245647964578384,-0.15975727372439036,-0.16759401345803482,-0.1704602372490354,-0.17156670743381586,-0.17203957964437802,-0.1722500735167693,-0.17245887660038814,-0.17244327256723402
1.0074112777601494,-0.18005815337626369,-0.16784834217436237,-0.17558692542575446,-0.178292294270415,-0.17929144847604528,-0.1797047912313926,-0.179883464923296,-0.1800606444217614,-0.18004347349135252
1.0374112777601487,-0.18758090140954764,-0.1759145620715093,-0.18352626308277237,-0.18605751924000113,-0.18694313622300165,-0.18729396199006032,-0.18743939061116727,-0.18758346594082456,-0.1875648297239926
1.067411277760148,-0.19501810862947327,-0.18394985952141782,-0.19140542433029456,-0.19374918246159012,-0.19451507671366572,-0.19480043604132458,-0.1949111803490145,-0.19502073683673082,-0.1950006344192781
1.0974112777601475,-0.20236321388143355,-0.19194822186135269,-0.19921786480522172,-0.20136066274018968,-0.20200068785522424,-0.2022176504666797,-0.20229226314768037,-0.20236591311409394,-0.2023442967455297
1.1274112777601468,-0.20960972594861166,-0.19990368294862385,-0.20695708710902685,-0.2088854537461578,-0.20939345273746177,-0.20953909046463726,-0.20957617122550123,-0.20961248701282842,-0.20958942658454935
1.1574112777601462,-0.21675127303469233,-0.20781031693093668,-0.21461666793851927,-0.21631707932194064,-0.21668689949091657,-0.21675831680369437,-0.21675649420966983,-0.2167540722686654,-0.21672965078203635
1.1874112777601455,-0.22378155590872661,-0.21566224831317304,-0.22219026116082202,-0.22364908987483434,-0.2238746462444804,-0.2238689964382336,-0.22382687761816644,-0.2237843946379403,-0.22375856285347018
1.217411277760145,-0.23069429904752425,-0.22345365440712817,-0.22967155738571718,-0.23087514778386473,-0.23095039859319152,-0.23086484995220144,-0.23078106132974846,-0.23069718528077568,-0.23066992983932355
1.2474112777601474,-0.2374833125754227,-0.23117874793411494,-0.2370542762465145,-0.23798899588897662,-0.2379078900540697,-0.23773962662666998,-0.23761285273496163,-0.23748622285930607,-0.237457650724581
1.277411277760152,-0.2441425025724704,-0.23883176820252708,-0.24433220385748194,-0.24498436193272463,-0.24474089728316606,-0.24448716133408505,-0.2443160862330471,-0.24414542296880284,-0.24411553971434427
1.3074112777601568,-0.25066578447933907,-0.24640699504869273,-0.2514991825203135,-0.25185502048303127,-0.2514432854763855,-0.2511013610544462,-0.25088466140977017,-0.25066873202009593,-0.2506374701426232
1.3374112777601614,-0.25704711204375164,-0.25389875056239025,-0.2585490621850859,-0.25859485873369553,-0.2580089569558198,-0.2575761381309501,-0.2573125513607982,-0.2570500740154591,-0.25701751301883496
1.3674112777601661,-0.26328054000971457,-0.26130137676679444,-0.2654757192920344,-0.26519776325732924,-0.2644318196067902,-0.2639054529164852,-0.2635937444370925,-0.26328348964948994,-0.2632496858682063
1.3974112777601708,-0.2693601350962348,-0.2686092325806668,-0.27227309237027475,-0.27165759997150773,-0.2707058486705863,-0.2700833453209604,-0.26972226290841067,-0.2693630901718911,-0.26932796000403636
1.4274112777601755,-0.2752799627490422,-0.27581671256041135,-0.2789351343366064,-0.2779683380080575,-0.2768250670253348,-0.27610385410243155,-0.2756921977612728,-0.27528292289183365,-0.275246508166976
1.4574112777601802,-0.281034181060924,-0.2829182366831068,-0.2854557880696733,-0.2841239771577745,-0.2827834818948973,-0.2819610312536131,-0.2814976492820535,-0.2810371119390984,-0.2809994962098823
1.487411277760185,-0.2866169619024426,-0.28990822728983107,-0.29182904197012294,-0.29011845391417523,-0.2885751411798314,-0.28764900406378796,-0.2871327274290962,-0.2866198797818302,-0.2865809787432911
1.5174112777601896,-0.29202244827821366,-0.2967811239585592,-0.2980489113151068,-0.2959457794650054,-0.2941941422177341,-0.2931618948082703,-0.2925916006219592,-0.29202536154158776,-0.291985192781262
1.5474112777601943,-0.297244866268232,-0.30353139358603537,-0.30410938044005814,-0.30160001696926064,-0.29963455383577386,-0.29849381419371074,-0.2978684382931373,-0.2972477358347678,-0.29720639167286933
1.577411277760199,-0.3022784477600634,-0.3101535016729017,-0.31000445442070074,-0.30707514200982833,-0.30489046500615463,-0.3036389403571567,-0.3029574038192947,-0.3022812916100514,-0.30223868447252394
1.6074112777602036,-0.30711737911389947,-0.3166419124825035,-0.3157281712620993,-0.31236518152149984,-0.3099560086211486,-0.3085914369701125,-0.30785270891450545,-0.30712020851850275,-0.30707635270550576
1.6374112777602083,-0.31175592657309104,-0.32299111254785895,-0.3212745270706867,-0.3174642199901225,-0.31482527755207423,-0.313345442657342,-0.3125485531526775,-0.311758698645471,-0.3117136822764808
1.667411277760213,-0.3161883408857029,-0.3291955868225507,-0.3266375184930995,-0.32236623627033717,-0.31949237541088277,-0.3178951576810221,-0.317039123727235,-0.31619108175107247,-0.31614480638087655
1.6974112777602177,-0.32040882515271896,-0.33524980571701235,-0.3318111751300633,-0.32706525604767234,-0.3239514396510592,-0.3222347503762191,-0.3213186477286133,-0.32041154038369,-0.32036403974088357
1.7274112777602224,-0.3244116646717969,-0.3411482544505357,-0.3367894761171022,-0.3315553521794212,-0.3281965566771193,-0.32635836506962695,-0.32538132375044754,-0.32441431089124034,-0.3243656520876459
1.757411277760227,-0.32819109510676236,-0.34688541554554536,-0.34156639206891376,-0.335830477608999,-0.332221827638853,-0.33026020321500993,-0.3292213441292254,-0.3281937124986534,-0.32814378712753217
1.7874112777602318,-0.33174132754969793,-0.352455748758506,-0.3461359240307885,-0.33988465189056266,-0.33602137273136323,-0.3339344119453528,-0.33283293136985864,-0.33174390368840184,-0.33169278400603847
1.8174112777602365,-0.33505665046491706,-0.3578537235433167,-0.3504920137873386,-0.3437119109794839,-0.3395892568494425,-0.33737513622413995,-0.33621026710068314,-0.33505915322531615,-0.3350068587700226
1.8474112777602412,-0.3381312682628918,-0.36307380380937165,-0.35462860094638843,-0.3473061737230607,-0.3429195765876033,-0.34057656659980506,-0.3393475474818023,-0.3381337489986271,-0.33808018561439707
1.8774112777602459,-0.34095941745540637,-0.36811042719781095,-0.35853965097250606,-0.35066146391659253,-0.34600642703209034,-0.3435328254750862,-0.34223898302657774,-0.34096183517491335,-0.3409071127980651
1.9074112777602505,-0.3435353784178951,-0.372958041057514,-0.36221906535465725,-0.35377176664829174,-0.3488438638596653,-0.3462380773514821,-0.34487875014288505,-0.3435377341007189,-0.3434818002979511
1.9374112777602552,-0.34585334945425183,-0.3776110833507822,-0.36566076840914113,-0.35663099858431846,-0.35142599671667857,-0.34868650369097987,-0.34726106891050207,-0.34585568260402866,-0.345798508618272
1.96741127776026,-0.34790763235915234,-0.3820639689354092,-0.3688587005251519,-0.35923320983531587,-0.35374691448895373,-0.3508722407896506,-0.34938015571687164,-0.34790988307293286,-0.3478515718286745
1.9974112777602646,-0.34969250856358913,-0.38631112819746916,-0.37180675108331035,-0.361572352738423,-0.3558007164518003,-0.3527895152916268,-0.3512302359279954,-0.34969472545354513,-0.34963517070866756
2.0274112777602693,-0.35120226294104817,-0.39034697912810307,-0.3744988729893591,-0.3636424279603352,-0.35758156813920866,-0.3544325358337942,-0.3528055986109089,-0.3512044352651456,-0.35114371400790495
2.057411277760274,-0.35243130863462224,-0.3941659309056567,-0.3769290203898915,-0.3654375408977024,-0.3590836232551921,-0.3557955516591227,-0.35410053647068523,-0.3524334048798438,-0.3523715350219793
2.0874112777602787,-0.35337401199238216,-0.3977624180651949,-0.3790911484924284,-0.3669517088320866,-0.36030112486061416,-0.35687291603655663,-0.35510942664158696,-0.35337609598695147,-0.3533130139246567
2.1174112777602834,-0.35402489528660447,-0.40113086582735424,-0.3809793155891965,-0.36817914216426467,-0.36122838135445995,-0.3576589813857649,-0.3558267160568816,-0.3540269017078747,-0.3539627404983077
2.147411277760288,-0.3543785529905036,-0.40426572035605834,-0.38258758204543164,-0.36911406849391937,-0.3618597650636322,-0.35814826299452107,-0.3562469289737495,-0.3543805273560982,-0.3543152062955006
